T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_obs_alpha_over_Cv_mol_per_J,A_eff_model_mol_per_J,residual_1e-8_per_K,rel_residual
103.0,-30.501717612048825,-15.335544857419478,0.5,6.5371642099710625,-4.665894359135862e-08,-2.345901734276209e-08,15.166172754629345,-0.49722356450636035
104.0,-29.308017813354557,-14.889144868494421,0.5,6.664128422400173,-4.397877104955143e-08,-2.234222380596306e-08,14.418872944860137,-0.4919770772859979
105.0,-28.081410100504645,-14.41262357608492,0.5,6.791014268779832,-4.1350833600221755e-08,-2.122307950720076e-08,13.668786524419724,-0.4867557033460398
106.0,-26.82263100646448,-13.905919920655633,0.5,6.917783853980647,-3.87734447514288e-08,-2.0101697616143147e-08,12.916711085808846,-0.481560182619513
107.0,-25.53241696298056,-13.368998774634138,0.5,7.044400545426458,-3.624498180978274e-08,-1.8978192237115043e-08,12.163418188346421,-0.4763911777714643
108.0,-24.21150428191423,-12.801850315571057,0.5,7.170828967237829,-3.376388475102676e-08,-1.785267836405011e-08,11.409653966343171,-0.4712492802384889
109.0,-22.86062913391679,-12.204489382779764,0.5,7.2970349919751065,-3.1328654938694556e-08,-1.6725271834658345e-08,10.65613975113703,-0.4661350170510935
110.0,-21.48052752417128,-11.576954820070974,0.5,7.422985730186686,-2.8937853722145106e-08,-1.5596089283846456e-08,9.903572704100307,-0.46104885892379344
111.0,-20.07193526490828,-10.9193088070274,0.5,7.548649517959074,-2.6590100940777446e-08,-1.4465248096429906e-08,9.152626457880878,-0.45599123039632333
112.0,-18.635587944384035,-10.23163618109758,0.5,7.67399590265571,-2.428407335731687e-08,-1.3332866359176395e-08,8.403951763286456,-0.45096252333799025
113.0,-17.172220891989664,-9.514043752628561,0.5,7.798995627022241,-2.2018503039661587e-08,-1.2199062812221565e-08,7.6581771393611024,-0.4459631161006913
114.0,-15.682569139140362,-8.766659614803498,0.5,7.923620611826497,-1.979217570782371e-08,-1.1063956799898664e-08,6.915909524336864,-0.4409934024825194
115.0,-14.167367375572635,-7.989632450303018,0.5,8.04784393719216,-1.760392905993097e-08,-9.927668221024858e-09,6.1777349252696165,-0.43605383847963614
116.0,-12.62734990065664,-7.183130836368841,0.5,8.171639822776118,-1.5452651089028054e-08,-8.790317478687582e-09,5.444219064287799,-0.431145023074453
117.0,-11.063250569308558,-6.347342549814317,0.5,8.29498360693059,-1.3337278400484165e-08,-7.652025429575306e-09,4.7159080194942415,-0.42626784867162065
118.0,-9.475802732065834,-5.48247387339916,0.5,8.417851724982247,-1.125679453814069e-08,-6.512913332897559e-09,3.993328858666674,-0.4214238066769128
119.0,-7.865739168864852,-4.588748904865739,0.5,8.540221686752615,-9.210228325882918e-09,-5.373102798939863e-09,3.2769902639991133,-0.41661567891425944
120.0,-6.233792016037186,-3.6664088698200152,0.5,8.662072053435358,-7.196652230068761e-09,-4.2327157372997445e-09,2.567383146217171,-0.4118493430021833
121.0,-4.580692686016328,-2.715711439533161,0.5,8.783382413938492,-5.215180747165412e-09,-3.091874304850435e-09,1.8649812464831674,-0.40713956912596944
122.0,-2.907171779221993,-1.736930054639165,0.5,8.90413336079221,-3.2649688200125287e-09,-1.9507008534793873e-09,1.1702417245828283,-0.4025361462802876
123.0,-1.2139589875638004,-0.7303532556087003,0.5,9.024306465715343,-1.3452102853286375e-09,-8.093178776490127e-10,0.4836057319551,-0.3983707332037721
124.0,0.4982170110198722,0.3037159792088624,0.5,9.143884254926792,5.448636456125625e-10,3.321520381726376e-10,-0.19450103181100986,-0.3903942007376618
125.0,2.2286286675985836,1.3649608872663226,0.5,9.262850184281772,2.4059858718004176e-09,1.4735862721633337e-09,-0.8636677803322612,-0.38753328129036857
126.0,3.976549687500006,2.4530515665907155,0.5,9.381188614306199,4.238854851970267e-09,2.6148622178322286e-09,-1.5234981209092904,-0.38312060470369463
127.0,5.74125516643895,3.5676456110867765,0.5,9.49888478519675,6.0441360183526345e-09,3.755857336691425e-09,-2.173609555352174,-0.37859483550882983
128.0,7.522021738219501,4.708388735878699,0.5,9.61592479184823,7.822463154657983e-09,4.896449210865472e-09,-2.8136330023408025,-0.37405276137992166
129.0,9.318127734732666,5.8749153922590684,0.5,9.732295558964891,9.574439738576666e-09,6.036515595590804e-09,-3.443212342473597,-0.36951761560847307
130.0,11.128853359002111,7.066849371871015,0.5,9.847984816306928,1.1300640249337346e-08,7.175934471557338e-09,-4.062003987131096,-0.3649975299427724
131.0,12.953480872060279,8.283804399802408,0.5,9.962981074118687,1.3001611441087804e-08,8.314584097044653e-09,-4.66967647225787,-0.36049587893629614
132.0,14.791294794467797,9.525384716319836,0.5,10.07727359878095,1.4677873583046414e-08,9.452343059805505e-09,-5.265910078147963,-0.3560141388107216
133.0,16.64158212332076,10.791185647014485,0.5,10.19085238872485,1.632992166752704e-08,1.0589090328649882e-08,-5.850396476306275,-0.351552901217715
134.0,18.503632565621775,12.080794161173445,0.5,10.303708150641592,1.7958226587065735e-08,1.1724705304683147e-08,-6.422838404448331,-0.34711229709464914
135.0,20.376738788923472,13.393789418227394,0.5,10.415832276018136,1.9563236281981765e-08,1.2859067872152508e-08,-6.982949370696077,-0.34269219638286363
136.0,22.26019669018624,14.729743302159754,0.5,10.527216818025456,2.1145376859789507e-08,1.399205844885652e-08,-7.530453388026488,-0.33829231128700704
137.0,24.153305683825135,16.08822094379434,0.5,10.637854468783255,2.2705053687943303e-08,1.5123558036073127e-08,-8.065084740030795,-0.3339122539003752
138.0,26.055369009955758,17.468781230906064,0.5,10.747738537021275,2.424265246145165e-08,1.625344826796235e-08,-8.586587779049692,-0.3295515705714533
139.0,27.965694063883113,18.870977306126175,0.5,10.856862926155364,2.575854024693516e-08,1.738161146040072e-08,-9.09471675775694,-0.3252097636833732
140.0,29.883592747913255,20.29435705263552,0.5,10.965222112792917,2.7253066504734668e-08,1.850793065920523e-08,-9.589235695277734,-0.320886306280805
141.0,31.80838184660322,21.73846356766227,0.5,11.07281112568115,2.8726564090694276e-08,1.9632289687705672e-08,-10.069918278940952,-0.3165806524677491
142.0,33.73938342660163,23.202835623817272,0.5,11.179625525107957,3.017935023926109e-08,2.0754573193625117e-08,-10.536547802784357,-0.31229224522451926
143.0,35.67592526226912,24.68700811831969,0.5,11.285661382764568,3.161172752954762e-08,2.187466669522942e-08,-10.98891714394943,-0.308020522611962
144.0,37.61734128830585,26.190512510178582,0.5,11.390915262076057,3.3023984836008595e-08,2.2992456626707642e-08,-11.42682877812727,-0.30376492295269
145.0,39.562972080651484,27.712877245411367,0.5,11.495384199004853,3.441639826538066e-08,2.410783038274654e-08,-11.850094835240117,-0.29952488936076366
146.0,41.512165366962165,29.253628170391647,0.5,11.599065683330604,3.578923208152934e-08,2.5220676362263376e-08,-12.25853719657052,-0.29529987386123174
147.0,43.464276568008046,30.812288933428956,0.5,11.701957640407883,3.7142739619841125e-08,2.633088401126272e-08,-12.65198763457909,-0.2910893412612694
148.0,45.418669371375756,32.38838137469406,0.5,11.80405841340276,3.8477164192787915e-08,2.7438343864783916e-08,-13.030287996681697,-0.28689277288457476
149.0,47.37471633890064,33.98142590460958,0.5,11.90536674600702,3.979273998828285e-08,2.8542947587907545e-08,-13.393290434291057,-0.28270967024858934
150.0,49.33179954929422,35.59094187083512,0.5,12.005881765628622,4.1089692962432094e-08,2.9644588015790434e-08,-13.740857678459104,-0.27853955874301145
151.0,51.289311277475726,37.21644791398101,0.5,12.105602967055523,4.2368241728277135e-08,3.0743159192700056e-08,-14.072863363494726,-0.2743819913541124
152.0,53.24665471215816,38.857462312190634,0.5,12.204530196589126,4.362859844210908e-08,3.18385564100209e-08,-14.389192399967525,-0.2702365524698765
153.0,55.203244713283254,40.51350331473625,0.5,12.302663636643047,4.4870969688923586e-08,3.2930676243206567e-08,-14.689741398547012,-0.26610286179450426
154.0,57.15850861094442,42.184089464776314,0.5,12.400003790801803,4.6095557368574375e-08,3.401941658765302e-08,-14.97441914616811,-0.2619805783963524
155.0,59.11188704748257,43.86873991142726,0.5,12.496551469333925,4.730255958417084e-08,3.5104676693469816e-08,-15.243147136055306,-0.25786940491023413
156.0,61.06283486448858,45.566974711303764,0.5,12.592307775152891,4.849217153425809e-08,3.6186357199127866e-08,-15.495860153184818,-0.2537690919128375
157.0,63.01082203649547,47.27831511968425,0.5,12.68727409021896,4.9664586410309055e-08,3.7264360163963567e-08,-15.732506916811221,-0.24967944248845148
158.0,64.95533465319981,49.002283871462424,0.5,12.781452062375143,5.081999630105356e-08,3.8338589099520874e-08,-15.95305078173739,-0.2456003170010843
159.0,66.89587595210833,50.73840545204195,0.5,12.874843592608732,5.1958593105171636e-08,3.940894899971458e-08,-16.157470500066374,-0.24153163808832892
160.0,68.83196740356846,52.48620635833942,0.5,12.967450822731475,5.30805694538733e-08,4.0475346369799214e-08,-16.345761045229036,-0.237473395891654
161.0,70.76314985019738,54.245215350054096,0.5,13.059276123469106,5.418611964489165e-08,4.153768925413014e-08,-16.51793450014328,-0.23342565353734332
162.0,72.68898470276429,56.0149636913709,0.5,13.150322082952746,5.527544058939342e-08,4.2595887262704536e-08,-16.674021011393386,-0.22938855288151094
163.0,74.60905519456449,57.794985383256474,0.5,13.240591495602722,5.6348732773262126e-08,4.364985159647175e-08,-16.814069811308013,-0.2253623205314758
164.0,76.52296769619488,59.58481738651333,0.5,13.330087351396475,5.740620123406637e-08,4.4699495071404134e-08,-16.93815030968155,-0.2213472741534017
165.0,78.4303530922744,61.38399983575391,0.5,13.418812825511411,5.84480565547238e-08,4.574473214132076e-08,-17.046353256520494,-0.2173438290717016
166.0,80.33086822087914,63.19207624445949,0.5,13.506771268334145,5.9474515874278764e-08,4.6785478919458505e-08,-17.138791976419647,-0.21335250515772505
167.0,82.22419737500137,65.00859370128234,0.5,13.593966195826313,6.04858039151563e-08,4.7821653198785796e-08,-17.215603673719034,-0.20937393399176063
168.0,84.11005386284715,66.83310305775736,0.5,13.680401280238824,6.148215402448985e-08,4.885317447105662e-08,-17.2769508050898,-0.20540886626065188
169.0,85.98818161983992,68.66515910758221,0.5,13.766080341164997,6.246380922440767e-08,4.9879963944603287e-08,-17.323022512257715,-0.20145817932101495
170.0,87.85835685941744,70.50432075762575,0.5,13.851007336923466,6.343102326226347e-08,5.0901944560868236e-08,-17.354036101791696,-0.1975228848128809
171.0,89.72038974190255,72.35015119082772,0.5,13.935186356262466,6.438406164664045e-08,5.191904100967662e-08,-17.370238551074838,-0.19360413615058483
172.0,91.57412603112664,74.20221802114511,0.5,14.01862161037583,6.532320264878853e-08,5.29311797432528e-08,-17.37190800998153,-0.1897032356506106
173.0,93.41944869805428,76.06009344070688,0.5,14.101317425222623,6.624873824268192e-08,5.393828898898507e-08,-17.359355257347406,-0.1858216409888636
174.0,95.25627942130959,77.92335435933292,0.5,14.18327823414131,6.716097495148422e-08,5.49402987609448e-08,-17.33292506197666,-0.18196097062866334
175.0,97.08457992918034,79.79158253657243,0.5,14.26450857074955,6.80602345658508e-08,5.5937140870167156e-08,-17.29299739260791,-0.17812300784761617
176.0,98.90435312991718,81.66436470642142,0.5,14.345013062121984,6.894685470247092e-08,5.692874893370173e-08,-17.239988423495756,-0.17430970304057222
177.0,100.71564399005533,83.54129269486954,0.5,14.424796422236653,6.982118918142677e-08,5.791505838244333e-08,-17.17435129518579,-0.17052317410472584
178.0,102.51854014485055,85.42196353043337,0.5,14.503863445682548,7.068360821844876e-08,5.889600646775356e-08,-17.096576614417174,-0.16676570491796966
179.0,104.31317225665215,87.30597954782706,0.5,14.582219001619723,7.153449844983507e-08,5.98715322668858e-08,-17.007192708825098,-0.1630397421620023
180.0,106.09971416450212,89.19294848492375,0.5,14.6598680279844,7.237426282553642e-08,6.084157668722682e-08,-16.906765679578385,-0.1593478909223574
181.0,107.87838287057245,91.08248357315784,0.5,14.73681552593104,7.320332040578824e-08,6.180608246936949e-08,-16.795899297414604,-0.15569290946422099
182.0,109.64943835696987,92.97420362151753,0.5,14.81306655450367,7.402210605989126e-08,6.276499418903255e-08,-16.67523473545234,-0.15207770313574412
183.0,111.41318308730922,94.867733094278,0.5,14.888626225529334,7.48310699722386e-08,6.371825825784351e-08,-16.545449993031223,-0.1485053162879777
184.0,113.16996079560849,96.76270218262228,0.5,14.963499698726016,7.563067669606979e-08,6.466582292300282e-08,-16.407258612986215,-0.1449789192966027
185.0,114.92015379677153,98.65874687029698,0.5,15.037692177018116,7.642140326053643e-08,6.560763826584754e-08,-16.26140692647455,-0.1415017852763384
186.0,116.66417760359774,100.55550899344922,0.5,15.111208902052415,7.720373555801503e-08,6.654365619933406e-08,-16.108668610148516,-0.13807724822680917
187.0,118.40247119292495,102.45263629478843,0.5,15.184055149907701,7.797816197581756e-08,6.747383046446009e-08,-15.949834898136523,-0.13470863181688048
188.0,120.1354809717221,104.34978247221915,0.5,15.256236226991579,7.874516308234431e-08,6.839811662564705e-08,-15.785698499502953,-0.13139913680637483
189.0,121.86363653632174,106.24660722208517,0.5,15.327757466117772,7.950519624655013e-08,6.931647206510465e-08,-15.61702931423657,-0.12815167639923397
190.0,123.58731688045648,108.14277627716926,0.5,15.398624222757906,8.025867447158334e-08,7.02288559762002e-08,-15.444540603287221,-0.12496865368657864
