case_id,label,x_low,x_high,delta_x_linear,z_p_exact,z_gr_exact,delta_z_exact,delta_z_exact_recomputed,delta_z_exact_match_abs_error,z_p_second_order,z_gr_second_order,delta_z_second_order,p_specific_second_order_term,gr_specific_second_order_term,required_abs_precision_exact_1sigma_for_3sigma,required_abs_precision_second_order_1sigma_for_3sigma
earth_399m_clock_leveling,"Earth field, Δh≈399 m chronometric leveling",6.953485068002884e-10,6.953049766473094e-10,4.3530152979e-14,4.3530152979031745e-14,4.353015303951933e-14,-6.053535895941459e-23,-6.053535895943952e-23,2.493223518094072e-35,4.353015297900095e-14,4.3530153039536304e-14,-6.053535893839359e-23,9.474265862241128e-28,6.053630636497982e-23,2.017845298647153e-23,2.017845297946453e-23
earth_400km_iss_like,"Earth field, ground↔ISS-like 400 km",6.953485068002884e-10,6.543137205868915e-10,4.10347862133969e-11,4.103478621423888e-11,4.1034786269621934e-11,-5.538310103701481e-20,-5.538310103817414e-20,1.1593376041482015e-30,4.1034786214238825e-11,4.103478626962193e-11,-5.538310101948127e-20,8.419268304546713e-22,5.622502784993594e-20,1.8461033679004937e-20,1.8461033673160425e-20
sun_0p3au_to_1au,"Solar potential lever arm, 0.3 AU ↔ 1 AU",3.2902095717025956e-08,9.870628715107787e-09,2.303146700191817e-08,2.303146726714241e-08,2.3031468252261063e-08,-9.851186448213995e-16,-9.851186602380993e-16,1.541669979604905e-23,2.3031467267142402e-08,2.303146825226105e-08,-9.851186486859626e-16,2.652242323903225e-16,1.2503428810762851e-15,3.283728816071332e-16,3.2837288289532085e-16
sun_0p05au_to_1au,"Solar potential lever arm, 0.05 AU ↔ 1 AU",1.9741257430215572e-07,9.870628715107787e-09,1.8754194558704792e-07,1.8754196317303975e-07,1.8754200204735243e-07,-3.8874306884645403e-14,-3.887431272866902e-14,5.844023618705519e-21,1.8754196317303843e-07,1.875420020473486e-07,-3.8874310164484765e-14,1.758599049456642e-14,5.646030065905118e-14,1.2958102294881801e-14,1.2958103388161588e-14
