T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein_1e-8_per_K,residual_1e-8_per_K,z
32.0,-7.154824948830198,-5.125149598259963,0.03,0.2644897850370196,6.554747574609017e-05,-5.127537188151367,0.002387589891403456,2.0296753505702343,67.65584501900781
33.0,-8.165288610226703,-5.619381188477442,0.03,0.2900643328500023,0.00010864817833387639,-5.62333873664168,0.003957548164237836,2.545907421749261,84.86358072497536
34.0,-9.235647568070469,-6.143707837648669,0.03,0.31723400503778504,0.00017450379462013906,-6.15006419983202,0.006356362183351371,3.0919397304217995,103.06465768072665
35.0,-10.361017643945683,-6.698702801098709,0.03,0.3460456900400127,0.0002723317637803052,-6.708622581516015,0.009919780417306383,3.662314842846974,122.07716142823247
36.0,-11.53587213840112,-7.284832724334313,0.03,0.37654569157983186,0.00041396512629223847,-7.299911549867694,0.015078825533382332,4.251039414066807,141.7013138022269
37.0,-12.754143016313503,-7.902440158256368,0.03,0.4087795770767217,0.0006142518622703106,-7.924814498693419,0.02237434043705064,4.851702858057136,161.72342860190452
38.0,-14.009313478001562,-8.551726287533405,0.03,0.4427920068989229,0.0008914381801368124,-8.58419723723024,0.03247094969683409,5.457587190468158,181.91957301560527
39.0,-15.29447420902185,-9.232734436112585,0.03,0.478626546234206,0.0012675212192487292,-9.278904342974302,0.04616990686171718,6.061739772909265,202.05799243030884
40.0,-16.602307452314196,-9.945334889728494,0.03,0.5163254620620373,0.0017685576670236351,-10.009755225677154,0.06442033594865906,6.6569725625857,221.89908541952335
41.0,-17.92497397171395,-10.68921152478523,0.03,0.5559295083054664,0.002424916493905285,-10.777539962187966,0.08832843740273429,7.235762446928718,241.19208156429062
42.0,-19.25393178381967,-11.463850661759258,0.03,0.597477702701718,0.0032714662101343155,-11.58301497075022,0.11916430899096185,7.790081122060412,259.6693707353471
43.0,-20.57982681768017,-12.268532475558917,0.03,0.6410070992422561,0.004347689567306577,-12.426898599405884,0.15836612384696802,8.311294342121252,277.0431447373751
