Z,N,A,symbol,A_group,B_obs_MeV,sigma_B_obs_MeV,Delta_B_P_minus_SEMF_MeV,Delta_B_P_minus_Yukawa_MeV,abs_Delta_B_P_minus_SEMF_MeV,abs_Delta_B_P_minus_Yukawa_MeV,required_sigma_3sigma_SEMF_MeV,required_sigma_3sigma_Yukawa_MeV,required_relative_precision_SEMF,required_relative_precision_Yukawa,resolvable_now_SEMF_sigma_le_req,resolvable_now_Yukawa_sigma_le_req,precision_ratio_obs_over_req_SEMF,precision_ratio_obs_over_req_Yukawa
37,53,90,Rb,mid_A_41_120,776.837358,0.006453,6.626327,700.552118,6.626327,700.552118,2.2087757,233.51737,0.0028432923,0.30060008,1,1,0.002921528,2.7633918e-05
38,52,90,Sr,mid_A_41_120,782.640387,0.001449,-1.261406,699.528186,1.261406,699.528186,0.42046867,233.17606,0.00053724376,0.29793513,1,1,0.0034461545,6.2141885e-06
39,51,90,Y,mid_A_41_120,782.404002,0.000351,0.440283,700.210446,0.440283,700.210446,0.146761,233.40348,0.00018757701,0.29831581,1,1,0.0023916436,1.5038336e-06
40,50,90,Zr,mid_A_41_120,783.897291,0.000117,-4.246316,698.037590,4.246316,698.037590,1.4154387,232.6792,0.001805643,0.29682358,1,1,8.2659887e-05,5.0283825e-07
41,49,90,Nb,mid_A_41_120,777.003930,0.003321,-3.728148,694.503167,3.728148,694.503167,1.242716,231.50106,0.001599369,0.29794065,1,1,0.0026723724,1.4345507e-05
42,48,90,Mo,mid_A_41_120,773.732565,0.003465,-9.948421,687.809045,9.948421,687.809045,3.3161403,229.26968,0.0042858999,0.29631644,1,1,0.0010448894,1.5113206e-05
43,47,90,Tc,mid_A_41_120,763.502400,0.001026,17.765656,699.951480,17.765656,699.951480,5.9218853,233.31716,0.0077562105,0.30558799,1,1,0.00017325563,4.3974477e-06
44,46,90,Ru,mid_A_41_120,756.879156,0.003726,25.893066,699.951459,25.893066,699.951459,8.631022,233.31715,0.011403435,0.30826209,1,1,0.00043169859,1.5969679e-05
45,45,90,Rh,mid_A_41_120,742.860000,0.18,41.157942,699.951024,41.157942,699.951024,13.719314,233.31701,0.018468236,0.31407938,1,1,0.01312019,0.00077148255
46,44,90,Pd,mid_A_41_120,730.170000,0.36,54.132881,699.950575,54.132881,699.950575,18.044294,233.31686,0.024712456,0.31953772,1,1,0.019950906,0.0015429661
33,58,91,As,mid_A_41_120,745.199000,0.364,51.165387,708.955339,51.165387,708.955339,17.055129,236.31845,0.022886677,0.31712126,1,1,0.021342553,0.0015402945
34,57,91,Se,mid_A_41_120,758.470276,0.4331418,36.596171,708.955549,36.596171,708.955549,12.198724,236.31852,0.016083325,0.31157255,1,1,0.035507141,0.0018328729
35,56,91,Br,mid_A_41_120,768.215102,0.0035399,24.426568,708.955710,24.426568,708.955710,8.1421893,236.31857,0.01059884,0.30762031,1,1,0.00043476022,1.4979356e-05
36,55,91,Kr,mid_A_41_120,777.299423,0.0022386,19.915963,712.624097,19.915963,712.624097,6.6386543,237.54137,0.0085406655,0.30559828,1,1,0.00033720689,9.4240428e-06
37,54,91,Rb,mid_A_41_120,783.288151,0.0077987,7.847746,709.348370,7.847746,709.348370,2.6159153,236.44946,0.003339659,0.30186778,1,1,0.0029812509,3.2982525e-05
38,53,91,Sr,mid_A_41_120,788.412707,0.0054509,2.434144,709.038649,2.434144,709.038649,0.81138133,236.34622,0.0010291327,0.29977474,1,1,0.0067180495,2.30632e-05
39,52,91,Y,mid_A_41_120,790.329731,0.0018473,-0.256323,708.955264,0.256323,708.955264,0.085441,236.31842,0.00010810804,0.29901244,1,1,0.021620768,7.8169953e-06
40,51,91,Zr,mid_A_41_120,791.091656,0.0001001,-3.034168,707.130444,3.034168,707.130444,1.0113893,235.71015,0.001278473,0.29795555,1,1,9.8972766e-05,4.2467412e-07
41,50,91,Nb,mid_A_41_120,789.051745,0.0029302,-1.660668,706.531063,1.660668,706.531063,0.553556,235.51035,0.00070154588,0.29847264,1,1,0.005293412,1.2441916e-05
42,49,91,Mo,mid_A_41_120,783.840203,0.0062426,-4.864375,701.015718,4.864375,701.015718,1.6214583,233.67191,0.0020686083,0.29811166,1,1,0.003849991,2.6715236e-05
43,48,91,Tc,mid_A_41_120,776.835678,0.002366,13.456350,708.955805,13.456350,708.955805,4.48545,236.3186,0.005774001,0.30420668,1,1,0.00052748331,1.0011908e-05
44,47,91,Ru,mid_A_41_120,768.306512,0.0022204,22.882719,708.954989,22.882719,708.954989,7.627573,236.31833,0.0099277735,0.3075834,1,1,0.00029110177,9.395801e-06
45,46,91,Rh,mid_A_41_120,757.848000,0.273,34.709960,708.955383,34.709960,708.955383,11.569987,236.31846,0.015266896,0.31182831,1,1,0.023595533,0.0011552208
46,45,91,Pd,mid_A_41_120,744.653000,0.455,48.936551,708.955465,48.936551,708.955465,16.312184,236.31849,0.021905752,0.31735384,1,1,0.027893261,0.0019253678
33,59,92,As,mid_A_41_120,747.132000,0.46,58.708442,717.960822,58.708442,717.960822,19.569481,239.32027,0.026192802,0.3203186,1,1,0.023505989,0.0019221105
34,58,92,Se,mid_A_41_120,762.680000,0.368,41.010729,717.960335,41.010729,717.960335,13.670243,239.32011,0.017923956,0.31378837,1,1,0.026919785,0.0015376894
35,57,92,Br,mid_A_41_120,771.411932,0.0067068,30.351514,717.960099,30.351514,717.960099,10.117171,239.32003,0.013115135,0.31023636,1,1,0.00066291257,2.8024399e-05
36,56,92,Kr,mid_A_41_120,783.166100,0.0027048,22.045864,721.212155,22.045864,721.212155,7.3486213,240.40405,0.0093832219,0.30696432,1,1,0.00036806904,1.1251058e-05
37,55,92,Rb,mid_A_41_120,788.386870,0.0061272,11.435729,717.915756,11.435729,717.915756,3.8119097,239.30525,0.004835075,0.30353785,1,1,0.0016073833,2.5604118e-05
38,54,92,Sr,mid_A_41_120,795.699444,0.0034224,2.692569,717.529869,2.692569,717.529869,0.897523,239.17662,0.0011279674,0.30058664,1,1,0.0038131613,1.4309091e-05
39,53,92,Y,mid_A_41_120,796.866225,0.0091264,2.506134,718.210664,2.506134,718.210664,0.835378,239.40355,0.001048329,0.3004313,1,1,0.010924875,3.8121406e-05
40,52,92,Zr,mid_A_41_120,799.726404,0.0001012,-5.378347,715.084796,5.378347,715.084796,1.7927823,238.3616,0.0022417446,0.29805393,1,1,5.6448571e-05,4.2456503e-07
41,51,92,Nb,mid_A_41_120,796.938325,0.0017848,-0.973539,715.654835,0.973539,715.654835,0.324513,238.55161,0.00040719964,0.2993351,1,1,0.0054999337,7.4818191e-06
42,50,92,Mo,mid_A_41_120,796.511270,0.0001564,-2.918593,713.357912,2.918593,713.357912,0.97286433,237.78597,0.0012214069,0.29853435,1,1,0.00016076239,6.5773435e-07
43,49,92,Tc,mid_A_41_120,787.846048,0.0031004,11.961731,717.960552,11.961731,717.960552,3.9872437,239.32018,0.0050609427,0.30376516,1,1,0.00077757977,1.2955029e-05
44,48,92,Ru,mid_A_41_120,782.439208,0.002714,18.022345,717.959747,18.022345,717.959747,6.0074483,239.31992,0.0076778468,0.30586391,1,1,0.00045177251,1.1340469e-05
45,47,92,Rh,mid_A_41_120,770.354741,0.0043792,31.122271,717.960006,31.122271,717.960006,10.37409,239.32,0.01346664,0.31066207,1,1,0.00042212858,1.8298512e-05
46,46,92,Pd,mid_A_41_120,761.352394,0.3450276,41.935991,717.960577,41.935991,717.960577,13.978664,239.32019,0.018360307,0.31433564,1,1,0.024682445,0.0014416987
47,45,92,Ag,mid_A_41_120,743.360000,0.368,59.786945,717.960136,59.786945,717.960136,19.928982,239.32005,0.026809327,0.32194367,1,1,0.01846557,0.0015376898
34,59,93,Se,mid_A_41_120,764.925000,0.372,48.038045,726.966081,48.038045,726.966081,16.012682,242.32203,0.020933662,0.31679188,1,1,0.023231587,0.0015351473
35,58,93,Br,mid_A_41_120,776.140670,0.4308132,34.244839,726.966086,34.244839,726.966086,11.414946,242.32203,0.014707316,0.31221406,1,1,0.03774115,0.001777854
36,57,93,Kr,mid_A_41_120,786.604090,0.002511,29.732310,731.838027,29.732310,731.838027,9.91077,243.94601,0.012599439,0.31012553,1,1,0.00025336074,1.0293261e-05
37,56,93,Rb,mid_A_41_120,794.305644,0.0078306,13.913399,727.105225,13.913399,727.105225,4.6377997,242.36841,0.0058388099,0.30513243,1,1,0.00168843,3.2308666e-05
38,55,93,Sr,mid_A_41_120,800.989237,0.0075516,7.758422,727.514513,7.758422,727.514513,2.5861407,242.50484,0.0032286834,0.30275667,1,1,0.0029200268,3.1139997e-05
39,54,93,Y,mid_A_41_120,804.348202,0.0104904,2.689211,727.030554,2.689211,727.030554,0.89640367,242.34352,0.0011144473,0.3012918,1,1,0.011702763,4.3287314e-05
40,53,93,Zr,mid_A_41_120,806.460725,0.0004557,0.567655,726.966384,0.567655,726.966384,0.18921833,242.32213,0.00023462808,0.30047604,1,1,0.002408329,1.8805546e-06
41,52,93,Nb,mid_A_41_120,805.769196,0.001488,-3.964226,723.534029,3.964226,723.534029,1.3214087,241.17801,0.0016399345,0.29931401,1,1,0.001126071,6.1697167e-06
42,51,93,Mo,mid_A_41_120,804.581083,0.000186,3.564346,726.966067,3.564346,726.966067,1.1881153,242.32202,0.0014766881,0.30117788,1,1,0.00015655046,7.6757365e-07
43,50,93,Tc,mid_A_41_120,800.597773,0.0010137,8.591974,726.966333,8.591974,726.966333,2.8639913,242.32211,0.0035773161,0.30267647,1,1,0.0003539466,4.1832749e-06
44,49,93,Ru,mid_A_41_120,793.426031,0.0020646,15.971618,726.966044,15.971618,726.966044,5.3238727,242.32201,0.0067099798,0.30541223,1,1,0.00038780041,8.5200678e-06
45,48,93,Rh,mid_A_41_120,784.438772,0.0026319,25.704126,726.966048,25.704126,726.966048,8.568042,242.32202,0.010922512,0.30891132,1,1,0.00030717637,1.0861167e-05
46,47,93,Pd,mid_A_41_120,773.626424,0.3700098,37.788968,726.965814,37.788968,726.965814,12.596323,242.32194,0.016282177,0.31322862,1,1,0.02937443,0.0015269348
47,46,93,Ag,mid_A_41_120,760.275000,0.372,52.226816,726.966014,52.226816,726.966014,17.408939,242.322,0.022898213,0.31872941,1,1,0.021368333,0.0015351474
34,60,94,Se,mid_A_41_120,768.920000,0.47,53.018596,735.972182,53.018596,735.972182,17.672865,245.32406,0.02298401,0.31905018,1,1,0.026594442,0.0019158333
35,59,94,Br,mid_A_41_120,778.978000,0.188,40.745275,735.972040,40.745275,735.972040,13.581758,245.32401,0.017435355,0.31493061,1,1,0.013842096,0.00076633346
36,58,94,Kr,mid_A_41_120,791.887189,0.0121072,31.715004,739.877254,31.715004,739.877254,10.571668,246.62575,0.013349967,0.31144051,1,1,0.0011452497,4.9091386e-05
37,57,94,Rb,mid_A_41_120,798.319854,0.0020304,19.246845,736.447403,19.246845,736.447403,6.415615,245.48247,0.0080363967,0.30749889,1,1,0.00031647784,8.2710591e-06
38,56,94,Sr,mid_A_41_120,807.820434,0.0016638,9.164399,736.315677,9.164399,736.315677,3.0547997,245.43856,0.003781533,0.30382811,1,1,0.0005446511,6.778886e-06
39,55,94,Y,mid_A_41_120,810.543839,0.0063826,7.514401,737.238801,7.514401,737.238801,2.5048003,245.74627,0.0030902713,0.30318689,1,1,0.0025481472,2.5972317e-05
40,54,94,Zr,mid_A_41_120,814.679350,0.0001692,-2.449538,733.887628,2.449538,733.887628,0.81651267,244.62921,0.0010022504,0.30027668,1,1,0.00020722275,6.9165902e-07
41,53,94,Nb,mid_A_41_120,812.996732,0.0014946,2.194283,735.972583,2.194283,735.972583,0.73142767,245.32419,0.00089966864,0.30175299,1,1,0.002043401,6.0923465e-06
42,52,94,Mo,mid_A_41_120,814.259405,0.000141,-6.835411,729.960906,6.835411,729.960906,2.2784703,243.3203,0.0027982119,0.29882406,1,1,6.1883623e-05,5.7948309e-07
43,51,94,Tc,mid_A_41_120,809.221306,0.0040702,7.981710,735.972391,7.981710,735.972391,2.66057,245.32413,0.0032878151,0.30316074,1,1,0.0015298226,1.6591111e-05
44,50,94,Ru,mid_A_41_120,806.864228,0.0031396,12.063869,735.972350,12.063869,735.972350,4.0212897,245.32412,0.0049838492,0.30404634,1,1,0.00078074455,1.2797763e-05
45,49,94,Rh,mid_A_41_120,796.405910,0.0033746,23.088700,735.972698,23.088700,735.972698,7.6962333,245.32423,0.009663707,0.30803919,1,1,0.00043847423,1.3755673e-05
46,48,94,Pd,mid_A_41_120,788.818221,0.0042864,31.829964,735.972228,31.829964,735.972228,10.609988,245.32408,0.013450485,0.31100204,1,1,0.00040399669,1.7472398e-05
47,47,94,Ag,mid_A_41_120,774.372000,0.376,47.514319,735.972568,47.514319,735.972568,15.838106,245.32419,0.02045284,0.31680405,1,1,0.023740212,0.0015326658
48,46,94,Cd,mid_A_41_120,761.588000,0.47,60.915421,735.972405,60.915421,735.972405,20.30514,245.32413,0.026661581,0.32212185,1,1,0.023146848,0.0019158327
34,61,95,Se,mid_A_41_120,770.640000,0.475,60.569713,744.979607,60.569713,744.979607,20.189904,248.32654,0.026198879,0.32223416,1,1,0.02352661,0.001912804
35,60,95,Br,mid_A_41_120,783.275000,0.285,45.219977,744.979248,45.219977,744.979248,15.073326,248.32642,0.019243976,0.31703606,1,1,0.018907573,0.001147683
36,59,95,Kr,mid_A_41_120,794.769649,0.0186295,40.108109,750.601511,40.108109,750.601511,13.36937,250.2005,0.016821691,0.31480883,1,1,0.0013934464,7.4458283e-05
37,58,95,Rb,mid_A_41_120,803.718687,0.0202445,20.665734,744.425553,20.665734,744.425553,6.888578,248.14185,0.008570882,0.30874217,1,1,0.0029388504,8.1584384e-05
38,57,95,Sr,mid_A_41_120,812.163312,0.005814,14.540709,746.062840,14.540709,746.062840,4.846903,248.68761,0.0059678921,0.30620395,1,1,0.0011995289,2.3378728e-05
39,56,95,Y,mid_A_41_120,817.471618,0.006783,8.984756,746.463411,8.984756,746.463411,2.9949187,248.82114,0.0036636363,0.30437893,1,1,0.0022648361,2.7260546e-05
40,55,95,Zr,mid_A_41_120,821.141278,0.000874,3.084609,744.979263,3.084609,744.979263,1.028203,248.32642,0.0012521633,0.3024162,1,1,0.0008500267,3.5195611e-06
41,54,95,Nb,mid_A_41_120,821.485263,0.000513,1.579841,744.979272,1.579841,744.979272,0.52661367,248.32642,0.00064105066,0.30228957,1,1,0.00097414866,2.0658293e-06
42,53,95,Mo,mid_A_41_120,821.628514,0.0001235,-4.707290,739.918758,4.707290,739.918758,1.5690967,246.63959,0.0019097398,0.30018382,1,1,7.8707707e-05,5.0073065e-07
43,52,95,Tc,mid_A_41_120,819.155655,0.0050825,5.492797,744.979483,5.492797,744.979483,1.8309323,248.32649,0.0022351458,0.30314934,1,1,0.0027759082,2.0467007e-05
44,51,95,Ru,mid_A_41_120,815.809707,0.0095,10.910080,744.979243,10.910080,744.979243,3.6366933,248.32641,0.0044577716,0.30439257,1,1,0.0026122632,3.8256099e-05
45,50,95,Rh,mid_A_41_120,809.910216,0.0038855,18.634570,744.978777,18.634570,744.978777,6.2115233,248.32626,0.0076693974,0.30660961,1,1,0.00062553094,1.5646754e-05
46,49,95,Pd,mid_A_41_120,800.753167,0.0030305,28.667384,744.979202,28.667384,744.979202,9.5557947,248.3264,0.011933508,0.31011604,1,1,0.00031713741,1.2203696e-05
47,48,95,Ag,mid_A_41_120,789.925000,0.38,41.006929,744.978925,41.006929,744.978925,13.668976,248.32631,0.017304144,0.31436694,1,1,0.02780018,0.0015302446
48,47,95,Cd,mid_A_41_120,776.245000,0.57,55.654386,744.979127,55.654386,744.979127,18.551462,248.32638,0.023898978,0.31990721,1,1,0.030725341,0.0022953663
35,61,96,Br,mid_A_41_120,785.664000,0.288,52.258829,753.985919,52.258829,753.985919,17.41961,251.32864,0.022171831,0.31989329,1,1,0.016533091,0.00114591
36,60,96,Kr,mid_A_41_120,799.763722,0.0192768,42.829549,758.738049,42.829549,758.738049,14.276516,252.91268,0.017850918,0.31623425,1,1,0.0013502454,7.6219191e-05
37,59,96,Rb,mid_A_41_120,807.254045,0.0033504,27.246921,754.227779,27.246921,754.227779,9.082307,251.40926,0.011250866,0.3114376,1,1,0.00036889306,1.3326478e-05
38,58,96,Sr,mid_A_41_120,818.035594,0.0084672,15.152258,753.823705,15.152258,753.823705,5.0507527,251.27457,0.0061742456,0.30716826,1,1,0.0016764234,3.3697003e-05
39,57,96,Y,mid_A_41_120,822.664982,0.0060768,13.711760,756.134660,13.711760,756.134660,4.5705867,252.04489,0.0055558299,0.3063761,1,1,0.0013295449,2.4109991e-05
40,56,96,Zr,mid_A_41_120,828.991517,0.0001152,3.784594,754.016162,3.784594,754.016162,1.2615313,251.33872,0.0015217663,0.30318612,1,1,9.1317589e-05,4.5834561e-07
41,55,96,Nb,mid_A_41_120,828.373133,0.000144,3.635194,753.986766,3.635194,753.986766,1.2117313,251.32892,0.0014627844,0.30340062,1,1,0.00011883822,5.7295435e-07
42,54,96,Mo,mid_A_41_120,830.782848,0.0001248,-7.689819,747.575658,7.689819,747.575658,2.563273,249.19189,0.0030853706,0.29994828,1,1,4.8687752e-05,5.0081887e-07
43,53,96,Tc,mid_A_41_120,827.027261,0.0051456,5.710855,753.986125,5.710855,753.986125,1.9036183,251.32871,0.0023017601,0.3038941,1,1,0.0027030629,2.0473586e-05
44,52,96,Ru,mid_A_41_120,826.503648,0.0001728,-2.666762,746.405339,2.666762,746.405339,0.88892067,248.80178,0.0010755194,0.30102926,1,1,0.00019439305,6.9452879e-07
45,51,96,Rh,mid_A_41_120,819.328656,0.0100032,16.929553,753.986290,16.929553,753.986290,5.6431843,251.32876,0.0068875711,0.30674963,1,1,0.0017726162,3.9801254e-05
46,50,96,Pd,mid_A_41_120,815.041987,0.0041952,23.685099,753.986340,23.685099,753.986340,7.895033,251.32878,0.009686658,0.30836298,1,1,0.00053137207,1.669208e-05
47,49,96,Ag,mid_A_41_120,802.587869,0.0900864,37.290044,753.986016,37.290044,753.986016,12.430015,251.32867,0.015487419,0.31314786,1,1,0.0072474894,0.0003584406
48,48,96,Cd,mid_A_41_120,792.864000,0.384,48.617245,753.986606,48.617245,753.986606,16.205748,251.32887,0.020439506,0.31698862,1,1,0.023695296,0.0015278786
49,47,96,In,mid_A_41_120,774.624000,0.48,66.793655,753.986631,66.793655,753.986631,22.264552,251.32888,0.028742398,0.32445274,1,1,0.021558934,0.0019098482
35,62,97,Br,mid_A_41_120,789.580000,0.388,57.279156,762.994076,57.279156,762.994076,19.093052,254.33136,0.024181276,0.32210968,1,1,0.020321528,0.0015255689
36,61,97,Kr,mid_A_41_120,802.176856,0.1304068,42.700945,762.994130,42.700945,762.994130,14.233648,254.33138,0.017743778,0.3170515,1,1,0.0091618675,0.00051274366
37,60,97,Rb,mid_A_41_120,812.490158,0.0019109,15.143285,751.987786,15.143285,751.987786,5.0477617,250.6626,0.006212705,0.30851155,1,1,0.00037856383,7.6233951e-06
38,59,97,Sr,mid_A_41_120,821.769343,0.0033853,21.398239,763.755028,21.398239,763.755028,7.1327463,254.58501,0.0086797425,0.30980105,1,1,0.00047461382,1.3297327e-05
39,58,97,Y,mid_A_41_120,828.521775,0.0067124,14.835749,764.631344,14.835749,764.631344,4.9452497,254.87711,0.0059687625,0.30762875,1,1,0.001357343,2.6335829e-05
40,57,97,Zr,mid_A_41_120,834.560665,0.0001261,3.565732,760.505831,3.565732,760.505831,1.1885773,253.50194,0.0014241952,0.30375496,1,1,0.00010609322,4.9743208e-07
41,56,97,Nb,mid_A_41_120,836.444425,0.0042486,3.771220,762.993842,3.771220,762.993842,1.2570733,254.33128,0.0015028773,0.30406238,1,1,0.0033797551,1.6704984e-05
42,55,97,Mo,mid_A_41_120,837.603982,0.0001649,-3.059699,758.795964,3.059699,758.795964,1.0198997,252.93199,0.0012176395,0.30197085,1,1,0.00016168257,6.5195392e-07
43,54,97,Tc,mid_A_41_120,836.501364,0.0041225,4.048267,762.993780,4.048267,762.993780,1.3494223,254.33126,0.0016131741,0.30404166,1,1,0.0030550109,1.6209175e-05
44,53,97,Ru,mid_A_41_120,834.615150,0.0027645,7.582752,762.993523,7.582752,762.993523,2.527584,254.33117,0.0030284425,0.30472868,1,1,0.0010937322,1.0869686e-05
45,52,97,Rh,mid_A_41_120,830.309805,0.0354632,13.381549,762.993450,13.381549,762.993450,4.4605163,254.33115,0.0053721109,0.30630874,1,1,0.0079504697,0.00013943711
46,51,97,Pd,mid_A_41_120,824.735739,0.0048403,21.445076,762.993981,21.445076,762.993981,7.1483587,254.33133,0.0086674535,0.30837918,1,1,0.00067712047,1.9031474e-05
47,50,97,Ag,mid_A_41_120,817.051574,0.0120183,31.771797,762.993581,31.771797,762.993581,10.590599,254.33119,0.012961971,0.31127924,1,1,0.0011348083,4.7254526e-05
48,49,97,Cd,mid_A_41_120,806.099226,0.4201749,44.363333,762.993869,44.363333,762.993869,14.787778,254.33129,0.01834486,0.31550866,1,1,0.028413661,0.0016520771
49,48,97,In,mid_A_41_120,792.005000,0.388,59.218489,762.993651,59.218489,762.993651,19.739496,254.33122,0.024923449,0.32112325,1,1,0.019656023,0.0015255697
35,63,98,Br,mid_A_41_120,791.644000,0.392,64.823465,772.001774,64.823465,772.001774,21.607822,257.33392,0.027294872,0.32506269,1,1,0.018141579,0.0015233126
36,62,98,Kr,mid_A_41_120,806.932000,0.294,47.241705,772.002009,47.241705,772.002009,15.747235,257.334,0.019514947,0.3189042,1,1,0.018669944,0.0011424841
37,61,98,Rb,mid_A_41_120,816.411481,0.0160818,22.267880,761.748969,22.267880,761.748969,7.4226267,253.91632,0.0090917715,0.31101513,1,1,0.0021665915,6.3335038e-05
38,60,98,Sr,mid_A_41_120,827.682373,0.0032242,8.071310,760.946410,8.071310,760.946410,2.6904367,253.6488,0.0032505666,0.30645669,1,1,0.0011983928,1.2711276e-05
39,59,98,Y,mid_A_41_120,832.766388,0.0079184,19.797347,774.021672,19.797347,774.021672,6.5991157,258.00722,0.00792433,0.30981945,1,1,0.0011999184,3.0690614e-05
40,58,98,Zr,mid_A_41_120,840.977043,0.0084476,2.977602,768.102439,2.977602,768.102439,0.992534,256.03415,0.0011802153,0.30444844,1,1,0.0085111442,3.2994037e-05
41,57,98,Nb,mid_A_41_120,842.437557,0.004998,6.530283,772.001485,6.530283,772.001485,2.176761,257.33383,0.0025838841,0.30546339,1,1,0.002296072,1.9422242e-05
42,56,98,Mo,mid_A_41_120,846.246572,0.0001764,-5.136382,766.551609,5.136382,766.551609,1.7121273,255.5172,0.0020232015,0.30194179,1,1,0.00010302972,6.9036448e-07
43,55,98,Tc,mid_A_41_120,843.780461,0.003381,5.043997,772.001167,5.043997,772.001167,1.6813323,257.33372,0.0019926182,0.30497711,1,1,0.0020109052,1.3138581e-05
44,54,98,Ru,mid_A_41_120,844.790772,0.0064582,-5.865171,763.844636,5.865171,763.844636,1.955057,254.61488,0.0023142499,0.30139401,1,1,0.0033033308,2.5364582e-05
45,53,98,Rh,mid_A_41_120,838.958772,0.011907,12.530912,772.001552,12.530912,772.001552,4.1769707,257.33385,0.0049787556,0.30673003,1,1,0.0028506305,4.6270632e-05
46,52,98,Pd,mid_A_41_120,836.322190,0.0047432,17.380522,772.001911,17.380522,772.001911,5.7935073,257.33397,0.0069273629,0.30769717,1,1,0.00081870959,1.8432079e-05
47,51,98,Ag,mid_A_41_120,827.285287,0.0329084,28.989544,772.001155,28.989544,772.001155,9.6631813,257.33372,0.011680591,0.31105801,1,1,0.0034055451,0.00012788219
48,50,98,Cd,mid_A_41_120,821.072939,0.051793,38.325722,772.001834,38.325722,772.001834,12.775241,257.33394,0.015559203,0.3134118,1,1,0.0040541702,0.00020126766
49,49,98,In,mid_A_41_120,806.540000,0.294,54.421592,772.001677,54.421592,772.001677,18.140531,257.33389,0.022491793,0.31905906,1,1,0.016206803,0.0011424846
36,63,99,Kr,mid_A_41_120,809.325000,0.396,54.302101,781.009719,54.302101,781.009719,18.1007,260.33657,0.022365181,0.32167124,1,1,0.021877607,0.0015211078
37,62,99,Rb,mid_A_41_120,821.234799,0.0040293,40.471207,781.009804,40.471207,781.009804,13.490402,260.3366,0.016426974,0.3170063,1,1,0.00029867901,1.5477271e-05
38,61,99,Sr,mid_A_41_120,831.849826,0.0047421,14.330569,770.440131,14.330569,770.440131,4.7768563,256.81338,0.0057424504,0.30872565,1,1,0.00099272402,1.846516e-05
39,60,99,Y,mid_A_41_120,839.192686,0.0066132,0.548113,767.217765,0.548113,767.217765,0.18270433,255.73925,0.0002177144,0.30474438,1,1,0.036196186,2.5859151e-05
40,59,99,Zr,mid_A_41_120,845.383275,0.0105039,6.998003,777.158093,6.998003,777.158093,2.3326677,259.0527,0.0027593019,0.30643225,1,1,0.0045029561,4.0547348e-05
41,58,99,Nb,mid_A_41_120,849.319604,0.0120087,4.631541,779.025777,4.631541,779.025777,1.543847,259.67526,0.0018177456,0.30574504,1,1,0.0077784262,4.6245068e-05
42,57,99,Mo,mid_A_41_120,852.172022,0.0002277,4.654754,781.010134,4.654754,781.010134,1.5515847,260.33671,0.0018207411,0.30549784,1,1,0.00014675319,8.7463654e-07
43,56,99,Tc,mid_A_41_120,852.747440,0.0009108,4.158595,781.009711,4.158595,781.009711,1.3861983,260.33657,0.0016255673,0.30529153,1,1,0.00065704884,3.498548e-06
44,55,99,Ru,mid_A_41_120,852.262607,0.0003465,-4.390062,773.549164,4.390062,773.549164,1.463354,257.84972,0.0017170224,0.30254727,1,1,0.00023678481,1.343806e-06
45,54,99,Rh,mid_A_41_120,849.439394,0.0194535,9.834885,781.009853,9.834885,781.009853,3.278295,260.33662,0.003859363,0.30648051,1,1,0.0059340297,7.4724409e-05
46,53,99,Pd,mid_A_41_120,845.255387,0.0051084,16.007219,781.010302,16.007219,781.010302,5.3357397,260.33677,0.0063125769,0.30799776,1,1,0.00095739304,1.9622276e-05
47,52,99,Ag,mid_A_41_120,839.002666,0.0062667,24.400962,781.009621,24.400962,781.009621,8.133654,260.33654,0.0096944317,0.31029286,1,1,0.00077046553,2.4071534e-05
48,51,99,Cd,mid_A_41_120,831.438967,0.001584,35.018722,781.010417,35.018722,781.010417,11.672907,260.33681,0.014039404,0.31311595,1,1,0.00013569884,6.0844259e-06
49,50,99,In,mid_A_41_120,822.096000,0.297,47.857362,781.009552,47.857362,781.009552,15.952454,260.33652,0.019404612,0.31667411,1,1,0.018617825,0.0011408311
50,49,99,Sn,mid_A_41_120,807.939000,0.594,62.920123,781.010267,62.920123,781.010267,20.973374,260.33676,0.025959106,0.32222328,1,1,0.028321623,0.0022816601
36,64,100,Kr,mid_A_41_120,813.400000,0.4,59.369021,790.018069,59.369021,790.018069,19.789674,263.33936,0.024329572,0.32375136,1,1,0.020212562,0.0015189526
37,63,100,Rb,mid_A_41_120,824.450850,0.01312,47.038034,790.018100,47.038034,790.018100,15.679345,263.33937,0.019017925,0.31941184,1,1,0.00083676967,4.9821643e-05
38,62,100,Sr,mid_A_41_120,837.220120,0.00692,17.875189,779.387046,17.875189,779.387046,5.9583963,259.79568,0.0071168814,0.3103075,1,1,0.0011613863,2.6636316e-05
39,61,100,Y,mid_A_41_120,843.941510,0.01118,8.180716,778.087752,8.180716,778.087752,2.7269053,259.36258,0.0032311544,0.30732294,1,1,0.0040998856,4.3105678e-05
40,60,100,Zr,mid_A_41_120,852.210660,0.00814,-7.053817,774.375606,7.053817,774.375606,2.3512723,258.1252,0.0027590271,0.30288896,1,1,0.0034619554,3.1535084e-05
41,59,100,Nb,mid_A_41_120,854.846830,0.00798,10.793517,790.018049,10.793517,790.018049,3.597839,263.33935,0.0042087528,0.30805443,1,1,0.0022179981,3.0303105e-05
42,58,100,Mo,mid_A_41_120,860.466260,0.0003,-4.863153,782.829483,4.863153,782.829483,1.621051,260.94316,0.0018839216,0.30325787,1,1,0.00018506512,1.1496757e-06
