Z,N,A,symbol,A_group,B_obs_MeV,sigma_B_obs_MeV,Delta_B_P_minus_SEMF_MeV,Delta_B_P_minus_Yukawa_MeV,abs_Delta_B_P_minus_SEMF_MeV,abs_Delta_B_P_minus_Yukawa_MeV,required_sigma_3sigma_SEMF_MeV,required_sigma_3sigma_Yukawa_MeV,required_relative_precision_SEMF,required_relative_precision_Yukawa,resolvable_now_SEMF_sigma_le_req,resolvable_now_Yukawa_sigma_le_req,precision_ratio_obs_over_req_SEMF,precision_ratio_obs_over_req_Yukawa
9,14,23,F,light_A_le_40,175.313928,0.0333201,26.302547,112.885358,26.302547,112.885358,8.7675157,37.628453,0.050010377,0.2146347,1,1,0.0038004038,0.00088550279
10,13,23,Ne,light_A_le_40,182.970890,0.0001035,-6.166472,107.605180,6.166472,107.605180,2.0554907,35.868393,0.011233976,0.19603333,1,1,5.0352941e-05,2.8855488e-06
11,12,23,Na,light_A_le_40,186.564353,4.6e-06,-17.011409,105.325327,17.011409,105.325327,5.6704697,35.108442,0.030394175,0.18818409,1,1,8.1122028e-07,1.3102262e-07
12,11,23,Mg,light_A_le_40,181.725827,3.22e-05,16.572827,112.885371,16.572827,112.885371,5.5242757,37.628457,0.030398957,0.20706169,1,1,5.8288185e-06,8.5573533e-07
13,10,23,Al,light_A_le_40,168.721733,0.000345,30.816660,112.885445,30.816660,112.885445,10.27222,37.628482,0.060882613,0.22302095,1,1,3.3585729e-05,9.1685868e-06
14,9,23,Si,light_A_le_40,150.742000,0.506,53.803970,112.885495,53.803970,112.885495,17.934657,37.628498,0.11897584,0.24962186,1,1,0.028213531,0.013447255
7,17,24,N,light_A_le_40,141.288000,0.408,91.050384,120.804956,91.050384,120.804956,30.350128,40.268319,0.21481037,0.28500877,1,1,0.013443106,0.010132035
8,16,24,O,light_A_le_40,168.952452,0.1648752,54.387018,120.804948,54.387018,120.804948,18.129006,40.268316,0.10730241,0.23834112,1,1,0.0090945527,0.0040944151
9,15,24,F,light_A_le_40,179.125994,0.0976704,35.245151,120.805026,35.245151,120.805026,11.748384,40.268342,0.065587263,0.22480457,1,1,0.0083135181,0.0024254885
10,14,24,Ne,light_A_le_40,191.839805,0.0005136,-1.015281,116.453128,1.015281,116.453128,0.338427,38.817709,0.0017641125,0.2023444,1,1,0.0015176094,1.3231074e-05
