route_id,route_label,split,channel,n_rows,n_q_rows,n_logft_proxy_rows,max_abs_z_qbeta,p95_abs_z_qbeta,median_abs_z_qbeta,frac_abs_z_qbeta_le3,n_qbeta_gt3,chi2_qbeta,max_abs_z_logft_proxy,p95_abs_z_logft_proxy,median_abs_z_logft_proxy,frac_abs_z_logft_proxy_le3,n_logft_proxy_gt3,chi2_logft_proxy,hard_pass_qbeta,hard_pass_logft_proxy,watch_pass_qbeta,watch_pass_logft_proxy,hard_pass,watch_pass,calibration_a_offset_MeV,calibration_b_scale
A_transfer_surrogate,A: EW transfer surrogate,train,all,4996,4996,2351,3.503601969192327,0.26548051869005995,0.0007932427349664697,0.999599679743795,2,137.4506538005336,2.7396374779917676,0.04614614056473787,4.4425365625100355e-06,1.0,0,28.585245511938663,True,True,False,True,True,False,1.6752685754661784e-07,1.000000230235458
A_transfer_surrogate,A: EW transfer surrogate,train,beta_minus,2502,2502,1175,3.503601969192327,0.26385826246965416,0.0008009759817690404,0.9996003197442046,1,68.25738861254739,1.7377939665738658,0.0272434241069755,4.895422773820712e-06,1.0,0,6.382879242636426,True,True,False,True,True,False,1.6752685754661784e-07,1.000000230235458
A_transfer_surrogate,A: EW transfer surrogate,train,beta_plus,2494,2494,1176,3.377628519585695,0.27264192039315244,0.000785472399818355,0.9995990376904571,1,69.19326518798611,2.7396374779917676,0.07597525587329457,4.045124550045021e-06,1.0,0,22.20236626930225,True,True,False,True,True,False,1.6752685754661784e-07,1.000000230235458
A_transfer_surrogate,A: EW transfer surrogate,holdout,all,1269,1269,576,3.5036019609747524,0.3246509959569267,0.000941724741793236,0.9984239558707644,2,64.23097420724139,2.688031898759269,0.059669717394491006,3.6025814523221733e-06,1.0,0,10.850838059557994,True,True,False,True,True,False,1.6752685754661784e-07,1.000000230235458
A_transfer_surrogate,A: EW transfer surrogate,holdout,beta_minus,643,643,284,3.3776285116332105,0.33512224399944834,0.0009513145020104719,0.9984447900466563,1,32.88819443877635,2.688031898759269,0.04106552294082022,3.5977528545921844e-06,1.0,0,7.52356613228116,True,True,False,True,True,False,1.6752685754661784e-07,1.000000230235458
A_transfer_surrogate,A: EW transfer surrogate,holdout,beta_plus,626,626,292,3.5036019609747524,0.31777446870042314,0.0009149141220013251,0.9984025559105432,1,31.342779768464972,1.177882007037423,0.08898268708041668,3.6087364213566175e-06,1.0,0,3.3272719272768376,True,True,False,True,True,False,1.6752685754661784e-07,1.000000230235458
B_pmodel_proxy,B: P-model proxy,train,all,4996,4996,49,304100.122552429,3786.896958170189,155.759456921222,0.015412329863891112,4919,911705226673.2058,17.940410420041847,14.315009451079629,8.252381537371427,0.04081632653061224,47,4063.499836016039,False,False,False,False,False,False,-0.5285360365560059,-0.0342079008368577
B_pmodel_proxy,B: P-model proxy,train,beta_minus,2502,2502,18,304100.122552429,3825.9494354335984,154.6980439511595,0.012390087929656275,2471,415880675707.897,17.940410420041847,14.315009451079629,9.153415848001522,0.05555555555555555,17,1763.512813663044,False,False,False,False,False,False,-0.5285360365560059,-0.0342079008368577
B_pmodel_proxy,B: P-model proxy,train,beta_plus,2494,2494,31,304028.95361910097,3731.0764409301237,156.95689704114687,0.018444266238973536,2448,495824550965.3081,15.26118260453006,13.113334605185305,7.50649377780587,0.03225806451612903,30,2299.9870223529956,False,False,False,False,False,False,-0.5285360365560059,-0.0342079008368577
B_pmodel_proxy,B: P-model proxy,holdout,all,1269,1269,19,291073.6814403315,6901.513486535296,176.87769542674843,0.017336485421591805,1247,308202963836.30743,11.088635267027659,10.939332555412866,7.961169040895053,0.05263157894736842,18,1156.4901019106233,False,False,False,False,False,False,-0.5285360365560059,-0.0342079008368577
B_pmodel_proxy,B: P-model proxy,holdout,beta_minus,643,643,3,291073.6814403315,6884.550631485238,170.13410207420029,0.017107309486780714,632,194100790358.66376,8.790355800047022,8.790355800047022,6.164176172852576,0.0,3,125.00436705223503,False,False,False,False,False,False,-0.5285360365560059,-0.0342079008368577
B_pmodel_proxy,B: P-model proxy,holdout,beta_plus,626,626,16,222673.9117295341,7282.008238201227,187.1881630619951,0.01757188498402556,615,114102173477.64326,11.088635267027659,10.939332555412866,8.153468036278099,0.0625,15,1031.4857348583885,False,False,False,False,False,False,-0.5285360365560059,-0.0342079008368577
