r_rg,N_metric_bar,N_phi_bar,N_total_bar,P0_linear,deltaP0,P0_full,delta_u,d_deltaP0_dr
1.9,0.0015921888969654108,0.0006275290075610692,0.00221971790452648,1.6842520862348342,0.002030724720050155,1.6862828109548844,0.001204986761869642,0.002599656697017314
2.066791744840525,0.001097864588688626,0.0003479745980701864,0.0014458391867588124,1.6153913644719822,0.0016573509039119719,1.6170487153758941,0.0010254488919848037,0.00192218027489535
2.2335834896810507,0.0007801786607223255,0.00020083126529173777,0.000981009926014063,1.5588846320220997,0.0013774243825472655,1.560262056404647,0.0008832059596278197,0.0014619640847531865
2.400375234521576,0.0005689667137646552,0.00012003139962332101,0.0006889981133879761,1.5117306424232704,0.001162055610753129,1.5128926980340236,0.000768396945421912,0.0011382340174727421
2.5909943714821764,0.0004076070980259884,6.920170646409159e-05,0.00047680880449008003,1.466608239425316,0.0009715483502211333,1.467579787775537,0.0006622263990719301,0.0008756888286085593
2.7577861163227015,0.00031080888821023885,4.399762593420469e-05,0.00035480651414444354,1.4331163663281923,0.0008400761505960465,1.4339564424787883,0.0005860166313577664,0.0007085118532012434
2.924577861163227,0.0002410341186106476,2.865475232246328e-05,0.0002696888709331108,1.404065340476196,0.0007329633821891971,1.4047983038583851,0.0005218931864521825,0.0005813492780499299
3.115196998123827,0.00018356923947878106,1.8022886471978415e-05,0.00020159212595075948,1.3752579510230516,0.0006331834755922519,1.3758911344986438,0.0004603047432829577,0.0004706542008843578
3.2819887429643524,0.00014670428153647062,1.2264700761649585e-05,0.00015896898229812023,1.3531987064822417,0.0005611688684947363,1.3537598753507365,0.00041461208922793924,0.0003956911044239991
3.448780487804878,0.00011863008623821589,8.494139144738704e-06,0.0001271242253829546,1.3335721102502973,0.0005003446874135154,1.3340724549377108,0.00037512095862396455,0.00033577937688819196
3.6393996247654785,9.427221434561712e-05,5.692296560173565e-06,9.99645109057907e-05,1.3136378635489807,0.0004417445453994575,1.3140796080943802,0.00033621921255072573,0.0002811639857370642
3.8061913696060037,7.788988139050801e-05,4.073558833906459e-06,8.196344022441447e-05,1.2980425336404637,0.00039816473934694316,1.2984406983798107,0.0003066954082797113,0.0002426260620074902
3.972983114446529,6.49123442938342e-05,2.9543974561879677e-06,6.786674175002217e-05,1.2839173371516,0.0003604343410201086,1.2842777714926201,0.00028069077942988185,0.00021076452435543855
4.139774859287055,5.4525667561227824e-05,2.1693404812511083e-06,5.6695008042478926e-05,1.2710646759311541,0.00032756059767586064,1.27139223652883,0.00025767248827923694,0.0001841939953386321
4.330393996247654,4.5070564737565984e-05,1.5455603513425392e-06,4.6616125088908526e-05,1.2577252179166616,0.00029493045491117627,1.2580201483715727,0.00023446765337575837,0.00015896671128114756
4.49718574108818,3.8424044612461054e-05,1.1618772595823132e-06,3.9585921872043364e-05,1.247081896769934,0.0002699973877193242,1.2473518941576534,0.0002164798999723383,0.00014049461873036093
4.663977485928705,3.2957851255934384e-05,8.820420843260094e-07,3.3839893340260394e-05,1.237279923656088,0.00024791141425523164,1.2375278350703434,0.00020034801831406157,0.00012473930701786817
4.854596622889305,2.7847514838868213e-05,6.509872689378336e-07,2.8498502107806048e-05,1.226985852756361,0.00022563199425019407,1.2272114847506113,0.00018387437019640185,0.00010944851883727613
5.0213883677298305,2.4164950646980313e-05,5.036225855745401e-07,2.466857323255485e-05,1.2186824383584065,0.00020835216064559768,1.218890790519052,0.00017095048360771248,9.802281561473111e-05
5.188180112570356,2.107113180650309e-05,3.927302002460104e-07,2.1463862006749097e-05,1.2109635546912112,0.0001928485020381284,1.2111564031932494,0.00015923943140627728,8.810697493981872e-05
5.378799249530957,1.8117065554573813e-05,2.9827744329138715e-07,1.84153429978652e-05,1.2027818123574299,0.0001770101797880488,1.2029588225372179,0.00014715649520977148,7.831733577399115e-05
5.545590994371482,1.5945804422127485e-05,2.3623315282044794e-07,1.6182037574947936e-05,1.1961251844302172,0.0001645805052273247,1.1962897649354445,0.0001375852508617159,7.088448703633975e-05
5.712382739212007,1.4090137832179205e-05,1.8833202421371727e-07,1.427846985639292e-05,1.1898908387324798,0.0001533142031082731,1.190044152935588,0.00012883898413787453,6.43442072627699e-05
5.879174484052532,1.2496610497717717e-05,1.5108220673122963e-07,1.264769270444895e-05,1.1840399145123006,0.0001430735056045263,1.1841829880179051,0.00012082773595822882,5.8567282419541424e-05
6.069793621013133,1.0941404752492336e-05,1.1829267836985988e-07,1.1059697430862198e-05,1.1777788972553962,0.00013247497446772978,1.177911372229864,0.00011247231974717553,5.276281119611389e-05
6.236585365853658,9.774450356625024e-06,9.606671132431664e-08,9.870517067949342e-06,1.1726393231861416,0.000124055247051993,1.1727633784331937,0.00010578588238349673,4.8282287068517005e-05
6.4033771106941835,8.7589528519595e-06,7.842888474537246e-08,8.837381736704872e-06,1.1677881501072074,0.00011634181681891848,1.1679044919240262,9.962082751940882e-05,4.4282570334698984e-05
6.593996247654784,7.754550981226012e-06,6.258226406609978e-08,7.817133245292112e-06,1.1625669773303002,0.00010829574035249844,1.1626752730706527,9.314792074852085e-05,4.0220776796543015e-05
6.76078799249531,6.9912726375792545e-06,5.162831220064021e-08,7.042900949779895e-06,1.1582576237757427,0.00010185593833486369,1.1583594797140775,8.793506552892683e-05,3.705366961899005e-05
6.927579737335835,6.3196102763370234e-06,4.278430968597064e-08,6.362394586022993e-06,1.1541705885343088,9.591758354740653e-05,1.154266506117856,8.310175211159732e-05,3.4201275963128996e-05
7.118198874296436,5.6477528600109674e-06,3.469833513749696e-08,5.682451195148464e-06,1.1497505127801373,8.968198788344106e-05,1.1498401947680208,7.799821736503842e-05,3.1278571867049355e-05
7.284990619136961,5.131665273209272e-06,2.9014208787541543e-08,5.160679481996814e-06,1.1460855774054557,8.46597326229174e-05,1.1461702371380786,7.386586795793404e-05,2.8980156472546038e-05
7.451782363977486,4.673189213002423e-06,2.4356249190722716e-08,4.697545462193145e-06,1.142595598108196,8.000274259646252e-05,1.1426756008507926,7.001597242864421e-05,2.689451136643302e-05
