id,label,unit,observed,observed_sigma,pmodel_scalar_prediction,reference_prediction,residual_scalar,z_scalar,status,note
geodetic_precession,Geodetic precession,arcsec/yr,6.6,0.018,6.6,6.6,0,0,pass,GP-B geodetic precession representative value.
frame_dragging,Frame-dragging,arcsec/yr,0.039,0.0072,0,0.0392,0.039,5.416667,reject,GP-B frame-dragging representative value; scalar-only limit predicts zero.
