is_baseline,compactness_c,core_radius_m,event_horizon_formed,event_horizon_gr_proxy,gtt_min,compactness_max_2gm_over_rc2,central_density_kg_m3,curvature_kretschmann_center_m4,central_quantity_finite,numerical_stability_pass
0,3.4924907,2.748283e+12,0,1,0.00021469941,3.69598894,148.64811767,1.0262801e-47,1,1
0,3.66596142,2.6182362e+12,0,1,0.00014113484,3.87956734,171.91640023,1.3727192e-47,1,1
0,3.84804837,2.4943431e+12,0,1,9.0863196e-05,4.07226401,198.82692852,1.8361049e-47,1,1
0,4.0391795,2.3763126e+12,0,1,5.723249e-05,4.27453186,229.9498329,2.4559148e-47,1,1
0,4.23980405,2.2638671e+12,0,1,3.523111e-05,4.48684627,265.94448773,3.2849524e-47,1,1
0,4.45039354,2.1567425e+12,0,1,2.1171119e-05,4.70970626,307.57348096,4.3938464e-47,1,1
0,4.67144294,2.054687e+12,0,1,1.2404385e-05,4.94363562,355.71877048,5.8770672e-47,1,1
0,4.90347178,1.9574606e+12,0,1,7.0774195e-06,5.18918417,411.40036935,7.8609756e-47,1,1
0,5.1470254,1.864835e+12,0,1,3.9270835e-06,5.44692902,475.797956,1.0514587e-46,1,1
0,5.40267624,1.7765923e+12,0,1,2.1162141e-06,5.71747597,550.27586702,1.4063973e-46,1,1
0,5.67102517,1.6925252e+12,0,1,1.1058908e-06,6.00146088,636.41200219,1.8811517e-46,1,1
0,5.95270288,1.6124361e+12,0,1,5.5958447e-07,6.29955121,736.03125416,2.5161678e-46,1,1
0,6.24837143,1.5361368e+12,0,1,2.737313e-07,6.61244758,851.24417082,3.3655449e-46,1,1
0,6.55872572,1.4634478e+12,0,1,1.2922865e-07,6.9408854,984.49166968,4.5016444e-46,1,1
0,6.88449519,1.3941985e+12,0,1,5.8776341e-08,7.2856366,1138.59675156,6.0212543e-46,1,1
0,7.22644551,1.328226e+12,0,1,2.5707007e-08,7.64751147,1316.82430901,8.0538356e-46,1,1
0,7.58538038,1.2653753e+12,0,1,1.0790998e-08,8.02736053,1522.95029688,1.0772551e-45,1,1
0,7.96214341,1.2054986e+12,0,1,4.3385711e-09,8.42607655,1761.34173016,1.4409017e-45,1,1
0,8.35762012,1.1484553e+12,0,1,1.6671583e-09,8.84459665,2037.04920428,1.9273036e-45,1,1
0,8.77274001,1.0941112e+12,0,1,6.1090781e-10,9.28390448,2355.91389768,2.5778991e-45,1,1
0,9.20847875,1.0423386e+12,0,1,2.1297004e-10,9.74503257,2724.69132392,3.4481147e-45,1,1
0,9.66586048,9.9301588e+11,0,1,7.0457897e-11,10.22906472,3151.19445492,4.6120871e-45,1,1
0,10.14596018,9.4602707e+11,0,1,2.206379e-11,10.73713857,3644.45924774,6.1689789e-45,1,1
0,10.64990626,9.0126173e+11,0,1,6.522058e-12,11.27044826,4214.93608168,8.2514273e-45,1,1
0,11.17888315,8.5861466e+11,0,1,1.8146768e-12,11.83024725,4874.71116153,1.1036843e-44,1,1
0,11.73413413,8.1798562e+11,1,1,4.7382526e-13,12.41785124,5637.76257761,1.4762525e-44,1,1
0,12.31696422,7.7927912e+11,1,1,1.157366e-13,13.0346413,6520.25644766,1.9745878e-44,1,1
