target,n_points,point_rms_ns,weighted_rms_ns_bin_rms,median_abs_z_np,p90_abs_z_np,p95_abs_z_np,chi2_like_np,median_abs_z_np_mean,p95_abs_z_np_mean,model_floor_ns_for_chi2eq1,median_np_bin_rms_ns
apollo11,2024,4.383342179885041,3.465439917847612,21.91497695110516,57.275058751987416,115.65067135195069,129557.89353020165,148.41227168310732,1297.0866949395509,4.380463344386712,0.1586
apollo14,1733,4.530646846100842,5.308676577750567,23.239755071196104,64.66868999646667,140.3871787626903,7566.949968072832,168.81431944248666,1699.733136952421,4.527820441871897,0.155
apollo15,5605,4.564418386636271,2.146281994346922,14.421997055003418,43.757223583450475,86.78192228032457,447723.85128029203,105.06154320099502,1241.5764818810985,4.5569092961689925,0.2385
luna17,1905,3.6311618045842518,4.186082862361367,20.136162822618296,49.68659206931361,70.69009790088994,3064.128245950549,137.00187057961875,826.1555384261101,3.628297267424304,0.1326
luna21,1773,3.5782497117061767,3.628493140432639,16.396149337655725,45.30017982325624,57.874530824065054,1367.5594512341165,126.50667842751474,702.6893862471455,3.574371622386943,0.1475
nglr1,24,21.478722176855154,20.38779764389656,90.04724843363813,166.86626861249326,227.80134025195,18104.942529632583,441.17371273988095,1019.0307822867553,21.46637404116048,0.15819999999999998
