station,target,hardware_period,hardware_phase,cut_source,fit_ok,reason,kappa_est,kappa_sigma_cluster,kappa_sigma_indep,kappa_sigma_sandwich,kappa_sigma_jackknife,abs_z_cluster,status_cluster,n_points
APOL,apollo11,post_2021,post,observation_year_gap,True,,1.7512946538092655,0.27270105552976626,0.22456803744769518,0.2658872144732447,0.27270105552976626,2.7550119025016357,watch,115
APOL,apollo11,pre_2021,pre,observation_year_gap,True,,2.0590254680238527,0.27152233502005335,0.2255036479920856,0.2604339723093303,0.27152233502005335,3.9003254297501457,reject,134
APOL,apollo14,post_2021,post,observation_year_gap,True,,1.7473023947535449,0.30156573473396336,0.2425288021781333,0.2934909868533223,0.30156573473396336,2.4780746241372666,watch,112
APOL,apollo14,pre_2021,pre,observation_year_gap,True,,2.0252049722065486,0.2739225761430762,0.23104195277508396,0.26294645402343697,0.2739225761430762,3.742681551268195,reject,139
APOL,apollo15,post_2021,post,observation_year_gap,True,,1.6184544478797616,0.24164460162559,0.1343445761035557,0.23682808291499274,0.24164460162559,2.5593555317159944,watch,319
APOL,apollo15,pre_2021,pre,observation_year_gap,True,,1.9575936262150682,0.23850672268419576,0.14682198396152915,0.2327681841352183,0.23850672268419576,4.014954444210815,reject,318
APOL,luna17,post_2021,post,observation_year_gap,True,,2.0312517865058557,0.42457748635041037,0.3563530458495211,0.40872487984553235,0.42457748635041037,2.428889471672899,watch,74
APOL,luna17,pre_2021,pre,observation_year_gap,True,,1.8177992579325637,0.3287013697785369,0.3108717999026988,0.31547617241205933,0.3287013697785369,2.487970337585016,watch,73
APOL,luna21,post_2021,post,observation_year_gap,True,,2.2493834523791296,0.47247245092174994,0.3602638277337697,0.451555858831796,0.47247245092174994,2.6443519615624114,watch,65
APOL,luna21,pre_2021,pre,observation_year_gap,False,n<50,,,,,,,,44
APOL,nglr1,post_2021,post,observation_year_gap,False,n<50,,,,,,,,38
GRSM,apollo11,post_2014,post,station_log_date_installed,True,,1.7094411013664481,0.10578446568686592,0.04977412344111672,0.1049954474389646,0.10578446568686592,6.7064771444464695,reject,1604
GRSM,apollo11,pre_2014,pre,station_log_date_installed,True,,1.6786219542132423,0.36066871735429185,0.13364504553553155,0.3176913770302384,0.36066871735429185,1.8815658845915901,pass,116
GRSM,apollo14,post_2014,post,station_log_date_installed,True,,1.6553361788459013,0.11170097026289724,0.054397362333354196,0.11086153637692416,0.11170097026289724,5.8668799143240635,reject,1394
GRSM,apollo14,pre_2014,pre,station_log_date_installed,True,,2.2696903308733547,0.510503640868801,0.1790013791006825,0.44910893709449723,0.510503640868801,2.4871327630739937,watch,88
GRSM,apollo15,post_2014,post,station_log_date_installed,True,,1.5336190666352243,0.09237968484722424,0.033984983323333495,0.09184835101104719,0.09237968484722424,5.776368121602854,reject,3969
GRSM,apollo15,pre_2014,pre,station_log_date_installed,True,,1.7280472628601116,0.24289498766754405,0.07930697219393504,0.2335733355673798,0.24289498766754405,2.997374585006285,watch,502
GRSM,luna17,post_2014,post,station_log_date_installed,True,,1.5993334424625434,0.08333712010332207,0.04051247072352743,0.08275705142956782,0.08333712010332207,7.191674510944039,reject,1666
GRSM,luna17,pre_2014,pre,station_log_date_installed,False,n<50,,,,,,,,19
GRSM,luna21,post_2014,post,station_log_date_installed,True,,1.699965829678523,0.08263987235874543,0.040975643799714315,0.08195267126058668,0.08263987235874543,8.470073944934507,reject,1510
GRSM,luna21,pre_2014,pre,station_log_date_installed,False,n<50,,,,,,,,10
MATM,apollo11,post_2017,post,station_log_date_installed,False,n<50,,,,,,,,47
MATM,apollo11,pre_2017,pre,station_log_date_installed,False,n<50,,,,,,,,8
MATM,apollo15,post_2017,post,station_log_date_installed,True,,1.7032708312556362,0.13737976759846734,0.13737976759846734,0.1038932712608813,0.10566827305346412,5.119173249085349,reject,220
MATM,apollo15,pre_2017,pre,station_log_date_installed,True,,1.8377683020063356,0.2678656892465156,0.17832128451206328,0.25117608070703057,0.2678656892465156,3.127568537661205,reject,70
MDOL,apollo15,single,single,single_period,False,n<50,,,,,,,,31
WETL,apollo15,post_2022,post,station_log_date_installed,True,,1.131674132998305,0.4360609581550275,0.08466774522410894,0.3533052309427358,0.4360609581550275,0.30196267410734945,pass,148
WETL,apollo15,pre_2022,pre,station_log_date_installed,False,n<50,,,,,,,,28
WETL,luna17,post_2022,post,station_log_date_installed,False,n<50,,,,,,,,40
WETL,luna17,pre_2022,pre,station_log_date_installed,False,n<50,,,,,,,,33
WETL,luna21,post_2022,post,station_log_date_installed,True,,1.6082953055254867,0.35354281632558743,0.061566813883377126,0.19645761568515324,0.35354281632558743,1.7205704017622878,pass,98
WETL,luna21,pre_2022,pre,station_log_date_installed,False,n<50,,,,,,,,47
