column_name,projection_coef_on_template,corr_before,corr_after,std_after,kept
intercept,0.019915278884039357,0.9992751816245602,2.6667583831371214e-15,0.03986775599889644,True
stt_APOL|apollo14,0.0013714772831267665,0.26249366334142016,4.382792673099444e-17,0.1371896347508177,True
stt_APOL|apollo15,0.001372727637965864,0.2627329747950106,1.0957721322389327e-17,0.21519691838304048,True
stt_APOL|luna17,0.0013797956885750495,0.26408576314951976,0.0,0.10538385856007453,True
stt_APOL|luna21,0.0012551806644563758,0.2520657390144567,4.585434591019656e-17,0.09088001675300683,True
stt_APOL|nglr1,0.0004403397053511682,0.14976725766767765,9.501307307015742e-18,0.053810002151910584,True
stt_GRSM|apollo11,0.0013643866760689985,0.26113655779923817,4.381121136886114e-17,0.33801065863629937,True
stt_GRSM|apollo14,0.0013629884523637206,0.26086894500893926,4.380792767931044e-17,0.317050120527236,True
stt_GRSM|apollo15,0.001368653454628827,0.2619531971622195,0.0,0.4742635833429641,True
stt_GRSM|luna17,0.0013642150774249026,0.2611037147056869,-4.381080815319919e-17,0.3350722961101855,True
stt_GRSM|luna21,0.0013631591665329167,0.2609016188185662,2.1904164188400658e-17,0.32055952777139235,True
stt_MATM|apollo11,0.0006228362972184794,0.17608136566204463,3.1729764155750846e-17,0.06473460286258027,True
stt_MATM|apollo15,0.0013649782801532482,0.2612497877631851,1.0953150492702929e-17,0.14728365801455567,True
stt_MDOL|apollo15,0.0003491308176773608,0.13147045535145785,-2.0983807136763036e-17,0.04864156911496831,True
stt_WETL|apollo15,0.0013819214411901204,0.26449262121283046,4.3852740779491746e-17,0.11516269632788403,True
stt_WETL|luna17,0.0008359914437772399,0.2051451391548918,1.38501353073611e-17,0.07450182071862722,True
stt_WETL|luna21,0.0013452616982514527,0.2574761358947603,2.1883325934986824e-17,0.1048531549377245,True
trend_st_GRSM,0.0008590362667635837,0.022636407916284705,1.1648111178257754e-17,3.0692592031554535,True
trend_st_MATM,-0.0006320119051722622,-0.029516248961359407,0.0,0.5717538824419189,True
trend_st_MDOL,-0.002029785478564874,-0.13097244526775295,0.0,0.28386137423220065,True
trend_st_WETL,0.013189276721963227,0.36502872479033166,7.882383765453019e-17,0.7439839711685394,True
