station,target,kappa_pre,sigma_pre,kappa_post,sigma_post,delta_post_minus_pre,sigma_delta,z_delta,abs_z_delta,status
APOL,apollo11,2.0590254680238527,0.27152233502005335,1.7512946538092655,0.27270105552976626,-0.30773081421458715,0.38482495254568766,-0.7996643985242936,0.7996643985242936,pass
APOL,apollo14,2.0252049722065486,0.2739225761430762,1.7473023947535449,0.30156573473396336,-0.27790257745300373,0.40740087148470183,-0.6821354516013576,0.6821354516013576,pass
APOL,apollo15,1.9575936262150682,0.23850672268419576,1.6184544478797616,0.24164460162559,-0.3391391783353066,0.3395255075253492,-0.9988621497310809,0.9988621497310809,pass
APOL,luna17,1.8177992579325637,0.3287013697785369,2.0312517865058557,0.42457748635041037,0.213452528573292,0.5369456512626948,0.397530975567698,0.397530975567698,pass
GRSM,apollo11,1.6786219542132423,0.36066871735429185,1.7094411013664481,0.10578446568686592,0.030819147153205773,0.37586204498279124,0.08199590132761828,0.08199590132761828,pass
GRSM,apollo14,2.2696903308733547,0.510503640868801,1.6553361788459013,0.11170097026289724,-0.6143541520274534,0.5225811650815348,-1.1756148002992028,1.1756148002992028,pass
GRSM,apollo15,1.7280472628601116,0.24289498766754405,1.5336190666352243,0.09237968484722424,-0.19442819622488727,0.25986916170736546,-0.7481772556138453,0.7481772556138453,pass
MATM,apollo15,1.8377683020063356,0.2678656892465156,1.7032708312556362,0.13737976759846734,-0.1344974707506994,0.30104024319170314,-0.44677571783999354,0.44677571783999354,pass
