target,n_points,fit_ok,reason,kappa_est,kappa_sigma,abs_z,status
apollo11,2024,True,,1.7493425396932523,0.048662529027380816,15.398758647986044,reject
apollo14,1733,True,,1.8170701687638189,0.056134107934183386,14.5556810080927,reject
apollo15,5605,True,,1.6306370003700779,0.03142420028014736,20.068513908005183,reject
luna17,1905,True,,1.82618812083287,0.05077482492629737,16.271609444880028,reject
luna21,1774,True,,1.7724524382825302,0.04616237505722085,16.733377286697923,reject
nglr1,38,False,n<180,,,,reject
