target,n_points,fit_ok,reason,kappa_est,kappa_sigma_indep,kappa_sigma_sandwich,kappa_sigma_jackknife,kappa_sigma_cluster,abs_z_cluster,status_cluster
apollo11,2024,True,,1.7493425396932523,0.048662529027380816,0.10387551695388991,0.10741302411281284,0.10741302411281284,6.976272625061177,reject
apollo14,1733,True,,1.8170701687638189,0.056134107934183386,0.11267381946622174,0.1147510525984325,0.1147510525984325,7.120371885590703,reject
apollo15,5605,True,,1.6306370003700779,0.03142420028014736,0.1155160086851443,0.1502198890271302,0.1502198890271302,4.198092572523354,reject
luna17,1905,True,,1.82618812083287,0.05077482492629737,0.12519202423920087,0.1422030640002227,0.1422030640002227,5.809917856844324,reject
luna21,1774,True,,1.7724524382825302,0.04616237505722085,0.11839753882234473,0.1264158437413382,0.1264158437413382,6.110408437909566,reject
nglr1,38,False,n<180,,,,,,,
