year,n_points,fit_ok,reason,kappa_est,kappa_sigma,abs_z,status
2012,506,True,,2.0211438725110353,0.10658458166673337,9.580596522899796,reject
2013,687,True,,1.6884991824728832,0.07532529054942348,9.14034552606386,reject
2014,670,True,,2.016230256673591,0.0759840666012447,13.374254657975149,reject
2015,1265,True,,1.723788681250428,0.04583502129926262,15.791171482712324,reject
2016,784,True,,1.0097691147674321,0.07241685498715793,0.13490111893377024,pass
2017,1299,True,,1.2856398651190215,0.05158151393260237,5.537640199786407,reject
2018,1129,True,,1.55951466830965,0.07009938870918922,7.981733915410077,reject
2019,1433,True,,1.9986459619445593,0.05388593973216326,18.532588777485696,reject
2020,977,True,,1.6869258950240504,0.050687355874744086,13.552214022004726,reject
2021,676,True,,0.7454593123368176,0.0896917945757326,2.837948430703515,watch
2022,383,True,,2.7387967106213917,0.20542455751354252,8.464405286630653,reject
2023,1624,True,,2.0079133575367583,0.05346069278389899,18.853353839071765,reject
2024,1213,True,,1.5636298432390106,0.06109416615471084,9.22559188076504,reject
2025,433,True,,-0.42789975123530377,0.2734736757110079,5.221342593662399,reject
