station,n_points,fit_ok,reason,kappa_est,kappa_sigma_indep,kappa_sigma_sandwich,kappa_sigma_jackknife,kappa_sigma_cluster,abs_z_cluster,status_cluster
APOL,1431,True,,1.3160353946213248,0.11075217338393421,0.236182949895142,0.2719626228026871,0.2719626228026871,1.1620545182439026,pass
GRSM,10878,True,,1.6791791990482774,0.018157887152295087,0.04154356189966069,0.041696696568636706,0.041696696568636706,16.288561323563947,reject
MATM,345,True,,1.5548451019495053,0.09790756350773465,0.09626776496716113,0.10002793212850446,0.10002793212850446,5.546901651797657,reject
MDOL,31,False,n<180,,,,,,,
WETL,394,True,,1.4154727757990733,0.06858078390217509,0.20116272556435674,0.2426644879111251,0.2426644879111251,1.7121284592380839,pass
