weight_scheme,fit_mode,n_points,n_params,dof,rmse_ns,aic_like,bic_like,kappa_est,kappa_sigma,delta_kappa,z_value,abs_z,status,weight_min,weight_max
uniform,station_target_year,13079,22,13057,4.227033814976079,37750.77063643801,37915.30342616677,1.671912984045632,0.018598055887073865,0.6719129840456318,36.12813017260739,36.12813017260739,reject,1.0,1.0
station_cap_p95,station_target_year,13079,22,13057,4.277900026773521,38063.6653062644,38228.19809599317,1.6699285127775623,0.018862755819585728,0.6699285127775624,35.51594046941735,35.51594046941735,reject,0.9658350855776526,1.1688532208479303
inv_station,station_target_year,13079,22,13057,4.4511421525007995,39102.098289778165,39266.63107950693,1.6199560445049144,0.021053403083156372,0.6199560445049144,29.44683299209266,29.44683299209266,reject,0.28817616224882725,8.0
inv_target,station_target_year,13079,22,13057,5.431397297127433,44308.474214984155,44473.00700471292,1.5211480853554713,0.024012068002680118,0.5211480853554714,21.70359026541584,21.70359026541584,reject,0.4477840186096408,8.0
inv_station_target,station_target_year,13079,22,13057,5.507387630878398,44671.91259319058,44836.445382919344,1.5287267089537062,0.025866102236093938,0.5287267089537061,20.440911588755462,20.440911588755462,reject,0.20105129582702122,7.490836197021766
