template_scale,fit_mode,kappa_est,kappa_sigma,delta_kappa,z_value,abs_z,status,rmse_ns,aic_like,bic_like
-1.0,station_target_year,0.3280870159543682,0.018598055887073865,-0.6719129840456318,-36.12813017260739,36.12813017260739,reject,4.227033814976079,37750.77063643801,37915.30342616677
0.0,station_target_year,1.0,0.0,0.0,,,reject,4.433279747968419,38996.91521482631,39161.44800455507
1.0,station_target_year,1.671912984045632,0.018598055887073865,0.6719129840456318,36.12813017260739,36.12813017260739,reject,4.227033814976079,37750.77063643801,37915.30342616677
