weight_scheme,fit_ok,kappa_est,kappa_sigma_indep,kappa_sigma_sandwich,kappa_sigma_jackknife,kappa_sigma_cluster,abs_z_cluster,status_cluster,rmse_ns,aic_like,n_points
uniform,True,1.671912984045632,0.018598055887073865,0.04058458747049809,0.041299591605268936,0.041299591605268936,16.2692403951014,reject,4.227033814976079,37750.77063643801,13079
station_cap_p95,True,1.6699285127775623,0.018862755819585728,0.040604810994986223,0.0415357882580696,0.0415357882580696,16.12894664753132,reject,4.277900026773521,38063.6653062644,13079
inv_station,True,1.6199560445049144,0.021053403083156372,0.06737369616639521,0.07981453095463314,0.07981453095463314,7.767458344863287,reject,4.4511421525007995,39102.098289778165,13079
inv_target,True,1.5211480853554713,0.024012068002680118,0.08356896754747542,0.09541720366656206,0.09541720366656206,5.461783256367867,reject,5.431397297127433,44308.474214984155,13079
inv_station_target,True,1.5287267089537062,0.025866102236093938,0.09413255319266338,0.11016131859420442,0.11016131859420442,4.79956772214528,reject,5.507387630878398,44671.91259319058,13079
