mode,n_points,n_params,dof,rmse_ns,aic_like,bic_like,kappa_est,kappa_sigma,delta_kappa,z_value,abs_z,status,is_selected
station_target_year,13079,22,13057,4.227033814976079,37750.77063643801,37915.30342616677,1.671912984045632,0.018598055887073865,0.6719129840456318,36.12813017260739,36.12813017260739,reject,True
none,13079,2,13077,4.280415346216276,38039.04116588409,38053.99869222307,1.6436121205464307,0.018698055795755446,0.6436121205464308,34.42133917968808,34.42133917968808,reject,False
station,13079,6,13073,4.279905215101111,38043.923523354075,38088.79610237101,1.6453051981159554,0.018723265509827846,0.6453051981159554,34.465419388366556,34.465419388366556,reject,False
station_target,13079,18,13061,4.278876938084908,38061.63812670818,38196.25586375898,1.6487173404750917,0.018776810742011395,0.6487173404750916,34.548856533108996,34.548856533108996,reject,False
