station,n_points,point_rms_ns,weighted_rms_ns_bin_rms,median_abs_z_np,p90_abs_z_np,p95_abs_z_np,chi2_like_np,median_abs_z_np_mean,p95_abs_z_np_mean,model_floor_ns_for_chi2eq1,median_np_bin_rms_ns
APOL,1430,6.502099418274098,5.277371351177412,47.65384291440223,354.6692274958283,464.28162009393134,37789.6499973739,660.452675998007,9167.603055877524,6.495905679338313,0.0709
GRSM,10878,4.18551837233033,3.931861142198598,16.613048279842523,41.43339643781483,51.22162753245563,680.1728071776489,118.75428811511237,521.3222879407002,4.1800217800252515,0.178
MATM,399,31.15250237166701,3.1031169071428497,4.492268415820293,92.87816086013359,4013.286591941773,14392531.859259,22.30048025834981,15560.409674960232,31.150777939650894,0.3135
MDOL,31,11.392898651182891,15.744463102803534,11.427050444825717,48.08649845646295,85.6180850522511,7561.742397692342,32.00788535972043,211.0071338249797,11.386110833919961,0.2703
WETL,394,2.2619878279958776,2.9044740589220135,11.034101898800394,45.19237128178732,69.53681776613297,1113.5274257104995,81.08684174886159,359.3959795901949,2.259033036187274,0.133
