station,n_points,obs_min_year,obs_max_year,station_cut_year,cut_source,log_path,installed_years
APOL,1431,2012,2025,2021,observation_year_gap,C:\develop\waveP\data\llr\stations\apol_20250116.log,"2005,2006,2009"
GRSM,10878,2012,2025,2014,station_log_date_installed,C:\develop\waveP\data\llr\stations\grsm_20200205.log,"1976,1980,1989,1992,1995,1996,2000,2008,2009,2010,2012,2014"
MATM,345,2012,2025,2017,station_log_date_installed,C:\develop\waveP\data\llr\stations\matm_20250310.log,"1983,1985,1990,1991,2000,2001,2005,2007,2008,2009,2010,2012,2013,2014,2017,2022,2023,2024"
MDOL,31,2012,2015,,single_period,C:\develop\waveP\data\llr\stations\mdol_20191210.log,"1981,1985,1986,1988,1990,1991,1993,1994,1996,1997,1999,2003,2007,2009,2011,2012,2015,2016"
WETL,394,2018,2025,2022,station_log_date_installed,C:\develop\waveP\data\llr\stations\wetl_20230315.log,"1983,1989,1990,1995,1996,1997,1998,1999,2009,2014,2016,2019,2022"
