kappa_true,kappa_recovered,kappa_recovered_sigma,kappa_error,z_error,status
0.5,0.5000000000000001,0.0009605616286801067,1.1102230246251565e-16,1.1558061361983584e-13,pass
0.8,0.8,0.0009605616286801067,0.0,0.0,pass
1.0,1.0,0.0009605616286801067,0.0,0.0,pass
1.2,1.2,0.0009605616286801067,0.0,0.0,pass
1.5,1.5,0.0009605616286801067,0.0,0.0,pass
