station,n_points,fit_ok,reason,kappa_est,kappa_sigma,abs_z,status
APOL,1431,True,,1.6182017804459221,0.08766216941484412,7.0520931043858015,reject
GRSM,10878,True,,1.66141835139037,0.018843032405154572,35.10148139475878,reject
MATM,345,True,,1.6478951567631608,0.10165818308619542,6.373271064797746,reject
MDOL,31,False,n<180,,,,reject
WETL,394,True,,1.395736758629765,0.06605208154453285,5.991283686691328,reject
