subset,n_points,point_rms_ns,weighted_rms_ns_bin_rms,median_abs_z_np,p90_abs_z_np,p95_abs_z_np,chi2_like_np,median_abs_z_np_mean,p95_abs_z_np_mean,model_floor_ns_for_chi2eq1,median_np_bin_rms_ns
all,13132,7.004437237212189,3.1134074996885133,17.300376273300973,51.15085897070847,89.13997207795846,442029.5061648737,125.56428757632315,1053.4085917027762,6.998241144894947,0.1739
exclude_nglr1,13094,6.892414224581402,3.113174529576572,17.263428849021402,50.67158079547213,85.09277426317017,443244.8070471673,125.2054972518579,1046.5233112288508,6.886339099192595,0.17395
modern_2023_all,633,7.699560076205336,5.44283040321707,22.67315695430021,63.461700362692376,139.82560687345503,8535.596781943259,205.17946019598833,1183.502142655368,7.691573480112468,0.182
modern_2023_exclude_nglr1,595,5.067213945607477,4.999386409856197,22.066824038096673,48.68458750012833,69.5889566173112,7595.06097724018,194.39482841476502,1144.3300979681644,5.0623741009006995,0.1829
modern_2023_apol_exclude_nglr1,595,5.067213945607477,4.999386409856197,22.066824038096673,48.68458750012833,69.5889566173112,7595.06097724018,194.39482841476502,1144.3300979681644,5.0623741009006995,0.1829
