station,target,metric,value_auto,value_tx,delta_rms_ns,abs_delta_rms_ns
APOL,luna17,rms_sr_tropo_station_tide_ns,5.027801486437849,5.027801486437849,0.0,0.0
APOL,luna17,rms_sr_tropo_tide_no_ocean_ns,4.953050545673851,4.953050545673851,0.0,0.0
APOL,luna17,rms_sr_tropo_tide_ns,4.959985863627138,4.959985863627138,0.0,0.0
APOL,luna21,n,109.0,109.0,0.0,0.0
APOL,luna21,n_inlier,109.0,109.0,0.0,0.0
APOL,luna21,n_outlier,0.0,0.0,0.0,0.0
APOL,luna21,rms_gc_ns,7552259.734778468,7552259.734778468,0.0,0.0
APOL,luna21,rms_sm_ns,485577.66794476885,485577.66794476885,0.0,0.0
APOL,luna21,rms_sr_iau_no_shapiro_ns,650.0499726608236,650.0499726608236,0.0,0.0
APOL,luna21,rms_sr_iau_ns,649.7973777436445,649.7973777436445,0.0,0.0
APOL,luna21,rms_sr_no_shapiro_ns,5.087020677032725,5.087020677032725,0.0,0.0
APOL,luna21,rms_sr_ns,4.657530183752589,4.657530183752589,0.0,0.0
APOL,luna21,rms_sr_tropo_earth_shapiro_ns,4.861058729635447,4.861058729635447,0.0,0.0
APOL,luna21,rms_sr_tropo_moon_tide_ns,4.699892384868551,4.699892384868551,0.0,0.0
APOL,luna21,rms_sr_tropo_no_shapiro_ns,5.681109349368453,5.681109349368453,0.0,0.0
APOL,luna21,rms_sr_tropo_ns,4.8577502709007625,4.8577502709007625,0.0,0.0
APOL,luna21,rms_sr_tropo_station_tide_ns,5.046375841400069,5.046375841400069,0.0,0.0
APOL,luna21,rms_sr_tropo_tide_no_ocean_ns,4.891974346919196,4.891974346919196,0.0,0.0
APOL,luna21,rms_sr_tropo_tide_ns,4.899907394552819,4.899907394552819,0.0,0.0
APOL,nglr1,n,38.0,38.0,0.0,0.0
APOL,nglr1,n_inlier,38.0,38.0,0.0,0.0
APOL,nglr1,n_outlier,0.0,0.0,0.0,0.0
APOL,nglr1,rms_gc_ns,7644687.709467352,7644687.709467352,0.0,0.0
APOL,nglr1,rms_sm_ns,844156.6024668688,844156.6024668688,0.0,0.0
APOL,nglr1,rms_sr_iau_no_shapiro_ns,572.9842137969888,572.9842137969888,0.0,0.0
APOL,nglr1,rms_sr_iau_ns,572.4270247106327,572.4270247106327,0.0,0.0
APOL,nglr1,rms_sr_no_shapiro_ns,21.032032766157307,21.032032766157307,0.0,0.0
APOL,nglr1,rms_sr_ns,22.2391606193325,22.2391606193325,0.0,0.0
APOL,nglr1,rms_sr_tropo_earth_shapiro_ns,23.963297253377537,23.963297253377537,0.0,0.0
APOL,nglr1,rms_sr_tropo_moon_tide_ns,23.982255147981903,23.982255147981903,0.0,0.0
APOL,nglr1,rms_sr_tropo_no_shapiro_ns,22.72810009363168,22.72810009363168,0.0,0.0
APOL,nglr1,rms_sr_tropo_ns,23.958795155287497,23.958795155287497,0.0,0.0
APOL,nglr1,rms_sr_tropo_station_tide_ns,24.15882529143194,24.15882529143194,0.0,0.0
APOL,nglr1,rms_sr_tropo_tide_no_ocean_ns,24.183800167185336,24.183800167185336,0.0,0.0
APOL,nglr1,rms_sr_tropo_tide_ns,24.196928165677654,24.196928165677654,0.0,0.0
GRSM,apollo11,n,1722.0,1722.0,0.0,0.0
GRSM,apollo11,n_inlier,1720.0,1720.0,0.0,0.0
GRSM,apollo11,n_outlier,2.0,2.0,0.0,0.0
GRSM,apollo11,rms_gc_ns,7330955.125048437,7330955.125048437,0.0,0.0
GRSM,apollo11,rms_sm_ns,394628.9597287278,394628.9597287278,0.0,0.0
