subset_id,station_target,n_points,fit_ok,reason,kappa_est,kappa_sigma_cluster,kappa_sigma_indep,kappa_sigma_sandwich,kappa_sigma_jackknife,abs_z_cluster,status_cluster
apol_post_acs,APOL|apollo11,115,True,,1.7512946538092666,0.27270105552976576,0.22456803744743623,0.26588721447269353,0.27270105552976576,2.7550119025016446,watch
apol_post_acs,APOL|apollo14,112,True,,1.7473023947535449,0.30156573473396336,0.2425288021781333,0.2934909868533223,0.30156573473396336,2.4780746241372666,watch
apol_post_acs,APOL|apollo15,319,True,,1.6184544478797616,0.24164460162559,0.1343445761035557,0.23682808291499274,0.24164460162559,2.5593555317159944,watch
apol_post_acs,APOL|luna17,74,False,n<80,,,,,,,
apol_post_acs,APOL|luna21,65,False,n<80,,,,,,,
apol_post_acs,APOL|nglr1,38,False,n<80,,,,,,,
apol_post_acs_apollo_reflectors,APOL|apollo11,115,True,,1.7512946538092664,0.2727010555297666,0.22456803744744458,0.2658872144727332,0.2727010555297666,2.7550119025016357,watch
apol_post_acs_apollo_reflectors,APOL|apollo14,112,True,,1.747302394753546,0.3015657347339624,0.24252880217789805,0.29349098685268177,0.3015657347339624,2.4780746241372777,watch
apol_post_acs_apollo_reflectors,APOL|apollo15,319,True,,1.6184544478797618,0.2416446016255893,0.13434457610344824,0.2368280829146833,0.2416446016255893,2.559355531716003,watch
apol_post_acs_apollo_reflectors_no_fullmoon30,APOL|apollo11,101,True,,1.6636361986874495,0.2984711917422265,0.2554112197159879,0.2899723158499103,0.2984711917422265,2.2234514319914545,watch
apol_post_acs_apollo_reflectors_no_fullmoon30,APOL|apollo14,99,True,,1.7091039474898406,0.31714329395252294,0.2680114861548997,0.3077914037660656,0.31714329395252294,2.235910268359624,watch
apol_post_acs_apollo_reflectors_no_fullmoon30,APOL|apollo15,279,True,,1.5425170829633383,0.2607958745916299,0.14554641269450974,0.255068874612297,0.2607958745916299,2.0802364447399513,watch
apol_post_acs_apollo_reflectors_no_fullmoon30_multiref_night,APOL|apollo11,101,True,,1.66363619868745,0.298471191742228,0.25541121971556763,0.2899723158490312,0.298471191742228,2.2234514319914447,watch
apol_post_acs_apollo_reflectors_no_fullmoon30_multiref_night,APOL|apollo14,99,True,,1.7091039474898402,0.31714329395252255,0.2680114861543274,0.3077914037647669,0.31714329395252255,2.2359102683596253,watch
apol_post_acs_apollo_reflectors_no_fullmoon30_multiref_night,APOL|apollo15,233,True,,1.5631612807134274,0.27459074951277623,0.1608741558607894,0.26857669352803926,0.27459074951277623,2.0509113351876573,watch
reference_all,APOL|apollo11,249,True,,1.9146676580985247,0.1945995528700606,0.15863838902435434,0.19073878078782597,0.1945995528700606,4.70025570258773,reject
reference_all,APOL|apollo14,251,True,,1.9071276543991562,0.2064839393441731,0.16640525711447102,0.2018537954976427,0.2064839393441731,4.393211681646246,reject
reference_all,APOL|apollo15,637,True,,1.7805984615389452,0.17206042322383433,0.09910510579969951,0.17005346048489958,0.17206042322383433,4.536769391317028,reject
reference_all,APOL|luna17,147,True,,1.8641282745716663,0.2595108688207444,0.2296193599227874,0.25472324725549256,0.2595108688207444,3.329834617326019,reject
reference_all,APOL|luna21,109,True,,2.037302774710638,0.3320214094986255,0.2716301317255306,0.3244384068672039,0.3320214094986255,3.1242044790937857,reject
reference_all,APOL|nglr1,38,False,n<80,,,,,,,
reference_all,GRSM|apollo11,1720,True,,1.7437031729289467,0.10229114935303461,0.04789973409925762,0.10158586444417046,0.10229114935303461,7.2704547522701555,reject
reference_all,GRSM|apollo14,1482,True,,1.7162686141729269,0.10825864726408409,0.05265690037415462,0.10748577452266474,0.10825864726408409,6.6162716076220205,reject
reference_all,GRSM|apollo15,4471,True,,1.6127688718622801,0.0887709464180723,0.032209310786335814,0.08830631958938745,0.0887709464180723,6.902808819637981,reject
reference_all,GRSM|luna17,1685,True,,1.6113445625774125,0.08298172227702068,0.040283461760077424,0.08241335275634071,0.08298172227702068,7.367219500898528,reject
reference_all,GRSM|luna21,1520,True,,1.7068029437160175,0.08223926638470075,0.04079586699177914,0.08155944662678821,0.08223926638470075,8.594470437147606,reject
reference_all,MATM|apollo11,55,False,n<80,,,,,,,
reference_all,MATM|apollo15,290,True,,1.7307029403301581,0.11407243731496336,0.11407243731496336,0.097925654628928,0.09923377227437338,6.405604697589019,reject
reference_all,MDOL|apollo15,31,False,n<80,,,,,,,
reference_all,WETL|apollo15,176,True,,1.2460629953753228,0.38315662614748924,0.08388321761434658,0.3140792499831185,0.38315662614748924,0.6421995042847186,pass
reference_all,WETL|luna17,73,False,n<80,,,,,,,
reference_all,WETL|luna21,145,True,,1.6781409496293973,0.4265606550287124,0.08506742471084461,0.276375172992081,0.4265606550287124,1.5897878569783954,pass
